topic,successors,antecedents
27_19,"['28_0', '28_1']","['26_19', '26_24', '26_16']"
27_20,"['28_0', '28_1']","['26_5', '26_8', '26_18']"
27_21,"['28_0', '28_1']","['26_23', '26_5', '26_1']"
27_22,"['28_0', '28_1']","['26_0', '26_2', '26_11']"
27_23,"['28_0', '28_1']","['26_21', '26_2', '26_8']"
27_24,"['28_0', '28_1']","['26_0', '26_2', '26_11']"
27_25,"['28_0', '28_1']","['26_0', '26_11', '26_2']"
28_0,"['29_0', '29_1', '29_2']","['27_6', '27_7', '27_4']"
28_1,"['29_1', '29_2', '29_0']","['27_8', '27_15', '27_17']"
29_0,"['30_0', '30_1', '30_2']","['28_0', '28_1']"
29_1,"['30_3', '30_1', '30_4']","['28_1', '28_0']"
29_2,"['30_4', '30_1', '30_3']","['28_1', '28_0']"
30_0,"['31_0', '31_1']","['29_0', '29_1', '29_2']"
30_1,"['31_0', '31_1']","['29_0', '29_1', '29_2']"
30_2,"['31_1', '31_0']","['29_0', '29_2', '29_1']"
30_3,"['31_0', '31_1']","['29_1', '29_2', '29_0']"
30_4,"['31_0', '31_1']","['29_2', '29_1', '29_0']"
31_0,"['32_0', '32_6', '32_2']","['30_0', '30_2', '30_1']"
31_1,"['32_0', '32_7', '32_6']","['30_2', '30_0', '30_1']"
32_0,"['33_1', '33_7', '33_8']","['31_0', '31_1']"
32_1,"['33_4', '33_1', '33_10']","['31_0', '31_1']"
32_2,"['33_3', '33_11', '33_1']","['31_0', '31_1']"
32_3,"['33_21', '33_2', '33_4']","['31_0', '31_1']"
32_4,"['33_10', '33_17', '33_1']","['31_0', '31_1']"
32_5,"['33_11', '33_24', '33_19']","['31_0', '31_1']"
32_6,"['33_8', '33_1', '33_15']","['31_0', '31_1']"
32_7,"['33_9', '33_12', '33_1']","['31_0', '31_1']"
32_8,"['33_20', '33_12', '33_26']","['31_0', '31_1']"
32_9,"['33_15', '33_8', '33_1']","['31_0', '31_1']"
32_10,"['33_13', '33_12', '33_7']","['31_0', '31_1']"
32_11,"['33_0', '33_21', '33_12']","['31_0', '31_1']"
32_12,"['33_19', '33_11', '33_1']","['31_0', '31_1']"
32_13,"['33_14', '33_2', '33_19']","['31_0', '31_1']"
32_14,"['33_18', '33_21', '33_3']","['31_0', '31_1']"
33_0,"['34_1', '34_19', '34_2']","['32_11', '32_0', '32_7']"
33_1,"['34_2', '34_7', '34_3']","['32_0', '32_6', '32_5']"
33_2,"['34_0', '34_13', '34_8']","['32_3', '32_13', '32_0']"
33_3,"['34_3', '34_7', '34_10']","['32_2', '32_5', '32_14']"
33_4,"['34_4', '34_20', '34_19']","['32_0', '32_3', '32_7']"
33_5,"['34_5', '34_3', '34_10']","['32_2', '32_14', '32_11']"
33_6,"['34_6', '34_20', '34_7']","['32_0', '32_5', '32_7']"
33_7,"['34_8', '34_25', '34_2']","['32_0', '32_7', '32_10']"
33_8,"['34_2', '34_7', '34_9']","['32_6', '32_9', '32_0']"
33_9,"['34_12', '34_1', '34_9']","['32_7', '32_0', '32_14']"
33_10,"['34_26', '34_18', '34_20']","['32_4', '32_0', '32_1']"
33_11,"['34_7', '34_17', '34_22']","['32_5', '32_12', '32_6']"
33_12,"['34_9', '34_2', '34_1']","['32_0', '32_7', '32_8']"
33_13,"['34_11', '34_25', '34_9']","['32_10', '32_14', '32_6']"
33_14,"['34_13', '34_0', '34_17']","['32_13', '32_12', '32_3']"
33_15,"['34_2', '34_7', '34_22']","['32_9', '32_6', '32_5']"
33_16,"['34_15', '34_2', '34_8']","['32_0', '32_13', '32_7']"
33_17,"['34_18', '34_2', '34_26']","['32_4', '32_6', '32_0']"
33_18,"['34_10', '34_1', '34_19']","['32_14', '32_0', '32_2']"
33_19,"['34_17', '34_7', '34_22']","['32_12', '32_5', '32_0']"
33_20,"['34_16', '34_9', '34_24']","['32_8', '32_7', '32_0']"
33_21,"['34_3', '34_1', '34_10']","['32_3', '32_14', '32_11']"
33_22,"['34_14', '34_3', '34_7']","['32_2', '32_5', '32_14']"
33_23,"['34_23', '34_10', '34_3']","['32_14', '32_2', '32_0']"
33_24,"['34_22', '34_7', '34_17']","['32_5', '32_6', '32_12']"
33_25,"['34_21', '34_19', '34_10']","['32_14', '32_7', '32_0']"
33_26,"['34_24', '34_16', '34_9']","['32_8', '32_7', '32_0']"
34_0,"['35_0', '35_20', '35_7']","['33_2', '33_7', '33_14']"
34_1,"['35_1', '35_18', '35_10']","['33_0', '33_12', '33_1']"
34_2,"['35_6', '35_9', '35_7']","['33_1', '33_8', '33_7']"
34_3,"['35_17', '35_10', '35_4']","['33_3', '33_11', '33_1']"
34_4,"['35_8', '35_0', '35_1']","['33_4', '33_1', '33_2']"
34_5,"['35_14', '35_3', '35_4']","['33_5', '33_3', '33_21']"
34_6,"['35_11', '35_19', '35_8']","['33_6', '33_1', '33_4']"
34_7,"['35_9', '35_19', '35_6']","['33_11', '33_8', '33_19']"
34_8,"['35_7', '35_0', '35_13']","['33_7', '33_12', '33_16']"
34_9,"['35_12', '35_1', '35_13']","['33_12', '33_20', '33_13']"
34_10,"['35_10', '35_1', '35_22']","['33_18', '33_3', '33_23']"
34_11,"['35_13', '35_4', '35_9']","['33_13', '33_12', '33_7']"
34_12,"['35_1', '35_12', '35_6']","['33_9', '33_12', '33_1']"
34_13,"['35_20', '35_0', '35_7']","['33_14', '33_2', '33_19']"
34_14,"['35_17', '35_4', '35_9']","['33_22', '33_3', '33_21']"
34_15,"['35_0', '35_7', '35_6']","['33_16', '33_1', '33_7']"
34_16,"['35_15', '35_12', '35_7']","['33_20', '33_26', '33_12']"
34_17,"['35_19', '35_9', '35_20']","['33_19', '33_11', '33_1']"
34_18,"['35_16', '35_6', '35_9']","['33_17', '33_10', '33_8']"
34_19,"['35_18', '35_1', '35_8']","['33_0', '33_1', '33_3']"
34_20,"['35_6', '35_8', '35_16']","['33_1', '33_4', '33_10']"
34_21,"['35_2', '35_10', '35_18']","['33_25', '33_18', '33_1']"
34_22,"['35_9', '35_6', '35_22']","['33_24', '33_11', '33_8']"
34_23,"['35_10', '35_4', '35_1']","['33_23', '33_18', '33_3']"
34_24,"['35_12', '35_7', '35_1']","['33_26', '33_20', '33_12']"
34_25,"['35_7', '35_13', '35_4']","['33_7', '33_13', '33_2']"
34_26,"['35_16', '35_6', '35_5']","['33_10', '33_17', '33_1']"
35_0,"['36_1', '36_11', '36_24']","['34_0', '34_8', '34_15']"
35_1,"['36_15', '36_6', '36_20']","['34_1', '34_9', '34_19']"
35_2,"['36_3', '36_6', '36_19']","['34_21', '34_19', '34_1']"
35_3,"['36_0', '36_9', '36_21']","['34_5', '34_3', '34_0']"
35_4,"['36_5', '36_21', '36_9']","['34_11', '34_3', '34_9']"
35_5,"['36_4', '36_8', '36_10']","['34_2', '34_10', '34_7']"
35_6,"['36_10', '36_2', '36_23']","['34_2', '34_9', '34_20']"
35_7,"['36_11', '36_1', '36_25']","['34_8', '34_2', '34_9']"
35_8,"['36_18', '36_11', '36_1']","['34_4', '34_20', '34_19']"
35_9,"['36_23', '36_12', '36_10']","['34_7', '34_2', '34_9']"
35_10,"['36_8', '36_6', '36_2']","['34_10', '34_23', '34_3']"
35_11,"['36_18', '36_12', '36_9']","['34_6', '34_20', '34_4']"
35_12,"['36_2', '36_11', '36_13']","['34_9', '34_16', '34_2']"
35_13,"['36_13', '36_2', '36_10']","['34_11', '34_9', '34_8']"
35_14,"['36_6', '36_0', '36_5']","['34_5', '34_10', '34_3']"
35_15,"['36_14', '36_22', '36_24']","['34_16', '34_15', '34_24']"
35_16,"['36_17', '36_28', '36_10']","['34_26', '34_18', '34_20']"
35_17,"['36_21', '36_5', '36_8']","['34_14', '34_3', '34_7']"
35_18,"['36_27', '36_19', '36_6']","['34_19', '34_1', '34_3']"
35_19,"['36_12', '36_9', '36_7']","['34_7', '34_17', '34_11']"
35_20,"['36_1', '36_7', '36_11']","['34_13', '34_0', '34_17']"
35_21,"['36_26', '36_18', '36_12']","['34_20', '34_6', '34_7']"
35_22,"['36_8', '36_23', '36_4']","['34_10', '34_2', '34_22']"
36_0,"['37_1', '37_24', '37_8']","['35_3', '35_4', '35_14']"
36_1,"['37_5', '37_19', '37_23']","['35_0', '35_7', '35_20']"
36_2,"['37_3', '37_10', '37_14']","['35_12', '35_6', '35_1']"
36_3,"['37_15', '37_4', '37_18']","['35_2', '35_18', '35_1']"
36_4,"['37_28', '37_11', '37_8']","['35_5', '35_9', '35_4']"
36_5,"['37_7', '37_24', '37_3']","['35_4', '35_1', '35_12']"
36_6,"['37_4', '37_13', '37_6']","['35_1', '35_10', '35_2']"
36_7,"['37_0', '37_11', '37_23']","['35_9', '35_19', '35_6']"
36_8,"['37_20', '37_25', '37_9']","['35_22', '35_10', '35_1']"
36_9,"['37_8', '37_0', '37_25']","['35_4', '35_19', '35_9']"
36_10,"['37_11', '37_3', '37_27']","['35_6', '35_9', '35_13']"
36_11,"['37_19', '37_27', '37_5']","['35_7', '35_0', '35_6']"
36_12,"['37_0', '37_8', '37_6']","['35_19', '35_9', '35_4']"
36_13,"['37_14', '37_19', '37_3']","['35_13', '35_7', '35_6']"
36_14,"['37_10', '37_27', '37_3']","['35_15', '35_12', '35_7']"
36_15,"['37_6', '37_4', '37_3']","['35_1', '35_4', '35_7']"
36_16,"['37_21', '37_17', '37_11']","['35_6', '35_2', '35_18']"
36_17,"['37_16', '37_22', '37_11']","['35_16', '35_6', '35_8']"
36_18,"['37_2', '37_0', '37_17']","['35_8', '35_11', '35_6']"
36_19,"['37_18', '37_26', '37_4']","['35_18', '35_2', '35_1']"
36_20,"['37_13', '37_4', '37_6']","['35_1', '35_18', '35_6']"
36_21,"['37_8', '37_24', '37_6']","['35_4', '35_17', '35_1']"
36_22,"['37_10', '37_3', '37_8']","['35_15', '35_12', '35_7']"
36_23,"['37_0', '37_11', '37_28']","['35_9', '35_6', '35_10']"
36_24,"['37_5', '37_27', '37_11']","['35_0', '35_7', '35_6']"
36_25,"['37_27', '37_19', '37_3']","['35_7', '35_13', '35_6']"
36_26,"['37_0', '37_2', '37_11']","['35_21', '35_11', '35_8']"
36_27,"['37_18', '37_13', '37_4']","['35_18', '35_1', '35_10']"
36_28,"['37_16', '37_0', '37_28']","['35_16', '35_9', '35_6']"
37_0,"['38_0', '38_26', '38_5']","['36_12', '36_7', '36_9']"
37_1,"['38_4', '38_21', '38_5']","['36_0', '36_9', '36_5']"
37_2,"['38_1', '38_9', '38_22']","['36_18', '36_12', '36_19']"
37_3,"['38_20', '38_14', '38_10']","['36_2', '36_10', '36_13']"
37_4,"['38_7', '38_6', '38_5']","['36_6', '36_15', '36_20']"
37_5,"['38_3', '38_21', '38_16']","['36_1', '36_11', '36_24']"
37_6,"['38_5', '38_7', '38_14']","['36_15', '36_6', '36_12']"
37_7,"['38_15', '38_33', '38_14']","['36_5', '36_2', '36_15']"
37_8,"['38_27', '38_8', '38_0']","['36_9', '36_12', '36_21']"
37_9,"['38_2', '38_7', '38_21']","['36_8', '36_6', '36_12']"
37_10,"['38_10', '38_24', '38_20']","['36_22', '36_14', '36_2']"
37_11,"['38_31', '38_16', '38_18']","['36_10', '36_4', '36_2']"
37_12,"['38_19', '38_30', '38_5']","['36_23', '36_9', '36_12']"
37_13,"['38_6', '38_7', '38_14']","['36_20', '36_6', '36_15']"
37_14,"['38_8', '38_14', '38_0']","['36_13', '36_2', '36_9']"
37_15,"['38_29', '38_24', '38_12']","['36_3', '36_6', '36_19']"
37_16,"['38_17', '38_0', '38_18']","['36_28', '36_17', '36_12']"
37_17,"['38_22', '38_9', '38_1']","['36_18', '36_16', '36_17']"
37_18,"['38_11', '38_12', '38_29']","['36_19', '36_27', '36_8']"
37_19,"['38_3', '38_16', '38_8']","['36_11', '36_25', '36_1']"
37_20,"['38_2', '38_14', '38_4']","['36_8', '36_23', '36_4']"
37_21,"['38_9', '38_13', '38_12']","['36_16', '36_18', '36_3']"
37_22,"['38_28', '38_17', '38_0']","['36_17', '36_28', '36_18']"
37_23,"['38_25', '38_3', '38_18']","['36_1', '36_7', '36_11']"
37_24,"['38_4', '38_15', '38_0']","['36_5', '36_21', '36_0']"
37_25,"['38_2', '38_27', '38_14']","['36_8', '36_9', '36_6']"
37_26,"['38_11', '38_7', '38_5']","['36_19', '36_6', '36_27']"
37_27,"['38_16', '38_3', '38_18']","['36_25', '36_11', '36_13']"
37_28,"['38_23', '38_30', '38_14']","['36_4', '36_23', '36_8']"
38_0,"['39_10', '39_0', '39_8']","['37_0', '37_6', '37_8']"
38_1,"['39_0', '39_12', '39_21']","['37_2', '37_17', '37_0']"
38_2,"['39_1', '39_9', '39_30']","['37_9', '37_25', '37_20']"
38_3,"['39_4', '39_21', '39_11']","['37_5', '37_19', '37_27']"
38_4,"['39_3', '39_10', '39_29']","['37_1', '37_24', '37_8']"
38_5,"['39_8', '39_9', '39_10']","['37_6', '37_0', '37_4']"
38_6,"['39_7', '39_9', '39_8']","['37_13', '37_4', '37_6']"
38_7,"['39_9', '39_8', '39_18']","['37_4', '37_6', '37_9']"
38_8,"['39_11', '39_10', '39_19']","['37_14', '37_3', '37_8']"
38_9,"['39_12', '39_15', '39_0']","['37_21', '37_2', '37_17']"
38_10,"['39_16', '39_25', '39_17']","['37_10', '37_3', '37_8']"
38_11,"['39_13', '39_9', '39_8']","['37_26', '37_18', '37_4']"
38_12,"['39_14', '39_25', '39_15']","['37_18', '37_21', '37_15']"
38_13,"['39_15', '39_25', '39_14']","['37_21', '37_4', '37_26']"
38_14,"['39_18', '39_17', '39_27']","['37_3', '37_6', '37_11']"
38_15,"['39_3', '39_8', '39_9']","['37_7', '37_6', '37_3']"
38_16,"['39_24', '39_27', '39_4']","['37_27', '37_19', '37_11']"
38_17,"['39_6', '39_10', '39_0']","['37_16', '37_0', '37_28']"
38_18,"['39_0', '39_20', '39_27']","['37_11', '37_5', '37_27']"
38_19,"['39_26', '39_19', '39_10']","['37_12', '37_6', '37_8']"
38_20,"['39_17', '39_16', '39_27']","['37_3', '37_27', '37_10']"
38_21,"['39_21', '39_4', '39_1']","['37_5', '37_4', '37_9']"
38_22,"['39_12', '39_14', '39_0']","['37_17', '37_2', '37_21']"
38_23,"['39_5', '39_19', '39_27']","['37_28', '37_11', '37_20']"
38_24,"['39_25', '39_15', '39_14']","['37_4', '37_10', '37_21']"
38_25,"['39_28', '39_4', '39_21']","['37_23', '37_5', '37_19']"
38_26,"['39_10', '39_0', '39_8']","['37_0', '37_8', '37_6']"
38_27,"['39_10', '39_3', '39_11']","['37_8', '37_0', '37_25']"
38_28,"['39_6', '39_32', '39_0']","['37_22', '37_16', '37_0']"
38_29,"['39_18', '39_14', '39_25']","['37_15', '37_4', '37_18']"
38_30,"['39_19', '39_10', '39_27']","['37_3', '37_0', '37_11']"
38_31,"['39_20', '39_27', '39_0']","['37_11', '37_28', '37_3']"
38_32,"['39_31', '39_27', '39_29']","['37_11', '37_12', '37_28']"
38_33,"['39_3', '39_18', '39_17']","['37_3', '37_7', '37_8']"
39_0,"['40_2', '40_6', '40_10']","['38_18', '38_0', '38_1']"
39_1,"['40_17', '40_3', '40_20']","['38_2', '38_7', '38_14']"
39_2,"['40_4', '40_24', '40_9']","['38_4', '38_1', '38_9']"
39_3,"['40_11', '40_10', '40_3']","['38_4', '38_15', '38_5']"
39_4,"['40_6', '40_13', '40_0']","['38_3', '38_16', '38_21']"
39_5,"['40_7', '40_22', '40_10']","['38_23', '38_31', '38_14']"
39_6,"['40_5', '40_2', '40_10']","['38_17', '38_28', '38_4']"
39_7,"['40_8', '40_3', '40_0']","['38_6', '38_7', '38_14']"
39_8,"['40_3', '40_10', '40_0']","['38_5', '38_7', '38_14']"
39_9,"['40_3', '40_0', '40_17']","['38_7', '38_5', '38_2']"
39_10,"['40_10', '40_25', '40_0']","['38_0', '38_5', '38_30']"
39_11,"['40_13', '40_10', '40_0']","['38_8', '38_14', '38_16']"
39_12,"['40_9', '40_2', '40_1']","['38_9', '38_13', '38_1']"
39_13,"['40_3', '40_23', '40_8']","['38_11', '38_7', '38_5']"
39_14,"['40_9', '40_23', '40_14']","['38_12', '38_24', '38_13']"
39_15,"['40_9', '40_23', '40_14']","['38_13', '38_24', '38_12']"
39_16,"['40_0', '40_14', '40_18']","['38_10', '38_20', '38_14']"
39_17,"['40_18', '40_0', '40_13']","['38_20', '38_14', '38_16']"
39_18,"['40_0', '40_3', '40_10']","['38_14', '38_7', '38_5']"
39_19,"['40_25', '40_22', '40_21']","['38_30', '38_14', '38_19']"
39_20,"['40_2', '40_14', '40_0']","['38_31', '38_18', '38_16']"
39_21,"['40_1', '40_6', '40_9']","['38_21', '38_3', '38_9']"
39_22,"['40_16', '40_2', '40_23']","['38_16', '38_18', '38_21']"
39_23,"['40_19', '40_3', '40_11']","['38_5', '38_7', '38_4']"
39_24,"['40_2', '40_13', '40_6']","['38_16', '38_3', '38_20']"
39_25,"['40_23', '40_9', '40_14']","['38_24', '38_13', '38_12']"
39_26,"['40_22', '40_25', '40_10']","['38_19', '38_30', '38_5']"
39_27,"['40_2', '40_25', '40_12']","['38_16', '38_14', '38_31']"
39_28,"['40_6', '40_2', '40_1']","['38_25', '38_3', '38_18']"
39_29,"['40_22', '40_21', '40_3']","['38_5', '38_30', '38_4']"
39_30,"['40_20', '40_17', '40_0']","['38_14', '38_2', '38_7']"
39_31,"['40_12', '40_22', '40_7']","['38_32', '38_19', '38_30']"
39_32,"['40_5', '40_2', '40_15']","['38_28', '38_17', '38_0']"
40_0,"['41_0', '41_3', '41_11']","['39_16', '39_18', '39_17']"
40_1,"['41_1', '41_16', '41_19']","['39_21', '39_0', '39_4']"
40_2,"['41_5', '41_19', '41_23']","['39_0', '39_27', '39_24']"
40_3,"['41_3', '41_17', '41_0']","['39_9', '39_8', '39_1']"
40_4,"['41_2', '41_12', '41_21']","['39_2', '39_3', '39_12']"
40_5,"['41_6', '41_23', '41_5']","['39_6', '39_0', '39_32']"
40_6,"['41_16', '41_0', '41_5']","['39_4', '39_21', '39_0']"
40_7,"['41_8', '41_13', '41_17']","['39_5', '39_19', '39_29']"
40_8,"['41_7', '41_3', '41_17']","['39_7', '39_9', '39_8']"
40_9,"['41_11', '41_9', '41_19']","['39_12', '39_15', '39_14']"
40_10,"['41_13', '41_3', '41_0']","['39_10', '39_8', '39_3']"
40_11,"['41_15', '41_13', '41_3']","['39_3', '39_10', '39_8']"
40_12,"['41_18', '41_17', '41_8']","['39_31', '39_27', '39_3']"
40_13,"['41_20', '41_24', '41_8']","['39_11', '39_4', '39_24']"
40_14,"['41_9', '41_11', '41_0']","['39_20', '39_16', '39_25']"
40_15,"['41_10', '41_23', '41_19']","['39_0', '39_12', '39_6']"
40_16,"['41_14', '41_19', '41_11']","['39_22', '39_0', '39_18']"
40_17,"['41_17', '41_3', '41_0']","['39_1', '39_9', '39_30']"
40_18,"['41_25', '41_4', '41_0']","['39_17', '39_16', '39_4']"
40_19,"['41_3', '41_15', '41_13']","['39_23', '39_8', '39_3']"
40_20,"['41_17', '41_0', '41_3']","['39_30', '39_1', '39_18']"
40_21,"['41_8', '41_20', '41_5']","['39_19', '39_29', '39_27']"
40_22,"['41_8', '41_3', '41_13']","['39_29', '39_19', '39_8']"
40_23,"['41_11', '41_0', '41_13']","['39_18', '39_25', '39_13']"
40_24,"['41_2', '41_15', '41_18']","['39_3', '39_2', '39_27']"
40_25,"['41_8', '41_13', '41_0']","['39_19', '39_10', '39_27']"
41_0,"['42_8', '42_0', '42_5']","['40_0', '40_3', '40_6']"
41_1,"['42_1', '42_15', '42_12']","['40_1', '40_6', '40_2']"
41_2,"['42_3', '42_11', '42_25']","['40_4', '40_24', '40_9']"
41_3,"['42_5', '42_21', '42_0']","['40_3', '40_0', '40_17']"
41_4,"['42_2', '42_10', '42_0']","['40_0', '40_18', '40_3']"
41_5,"['42_6', '42_17', '42_18']","['40_2', '40_6', '40_13']"
41_6,"['42_9', '42_6', '42_19']","['40_5', '40_2', '40_10']"
41_7,"['42_5', '42_21', '42_8']","['40_8', '40_3', '40_17']"
41_8,"['42_27', '42_7', '42_22']","['40_21', '40_25', '40_22']"
41_9,"['42_16', '42_8', '42_24']","['40_14', '40_0', '40_23']"
41_10,"['42_23', '42_6', '42_18']","['40_15', '40_2', '40_9']"
41_11,"['42_24', '42_16', '42_13']","['40_23', '40_9', '40_0']"
41_12,"['42_3', '42_18', '42_23']","['40_2', '40_9', '40_10']"
41_13,"['42_19', '42_30', '42_5']","['40_10', '40_11', '40_25']"
41_14,"['42_13', '42_18', '42_24']","['40_16', '40_23', '40_2']"
41_15,"['42_29', '42_0', '42_11']","['40_11', '40_19', '40_3']"
41_16,"['42_15', '42_6', '42_1']","['40_6', '40_2', '40_1']"
41_17,"['42_21', '42_5', '42_0']","['40_17', '40_20', '40_3']"
41_18,"['42_14', '42_21', '42_28']","['40_12', '40_22', '40_20']"
41_19,"['42_18', '42_6', '42_12']","['40_2', '40_16', '40_6']"
41_20,"['42_7', '42_17', '42_19']","['40_13', '40_10', '40_6']"
41_21,"['42_25', '42_11', '42_29']","['40_11', '40_1', '40_22']"
41_22,"['42_0', '42_22', '42_8']","['40_0', '40_11', '40_12']"
41_23,"['42_23', '42_6', '42_18']","['40_2', '40_5', '40_15']"
41_24,"['42_7', '42_17', '42_15']","['40_13', '40_6', '40_2']"
41_25,"['42_15', '42_6', '42_17']","['40_18', '40_2', '40_6']"
42_0,"['43_0', '43_3', '43_29']","['41_22', '41_0', '41_15']"
42_1,"['43_23', '43_17', '43_9']","['41_1', '41_16', '41_0']"
42_2,"['43_2', '43_24', '43_4']","['41_4', '41_0', '41_20']"
42_3,"['43_8', '43_13', '43_28']","['41_12', '41_19', '41_2']"
42_4,"['43_1', '43_8', '43_26']","['41_11', '41_13', '41_19']"
42_5,"['43_7', '43_24', '43_11']","['41_3', '41_0', '41_17']"
42_6,"['43_12', '43_22', '43_28']","['41_5', '41_19', '41_16']"
42_7,"['43_4', '43_32', '43_5']","['41_20', '41_24', '41_8']"
42_8,"['43_14', '43_11', '43_7']","['41_0', '41_3', '41_11']"
42_9,"['43_18', '43_21', '43_22']","['41_6', '41_5', '41_13']"
42_10,"['43_24', '43_6', '43_7']","['41_4', '41_3', '41_0']"
42_11,"['43_20', '43_31', '43_30']","['41_21', '41_15', '41_13']"
42_12,"['43_9', '43_16', '43_12']","['41_19', '41_5', '41_16']"
42_13,"['43_10', '43_28', '43_14']","['41_14', '41_11', '41_0']"
42_14,"['43_35', '43_5', '43_11']","['41_18', '41_17', '41_8']"
42_15,"['43_17', '43_12', '43_23']","['41_16', '41_5', '41_1']"
42_16,"['43_33', '43_16', '43_14']","['41_9', '41_11', '41_0']"
42_17,"['43_32', '43_36', '43_12']","['41_5', '41_20', '41_19']"
42_18,"['43_28', '43_10', '43_12']","['41_19', '41_5', '41_14']"
42_19,"['43_26', '43_13', '43_7']","['41_13', '41_8', '41_3']"
42_20,"['43_19', '43_12', '43_9']","['41_8', '41_17', '41_13']"
42_21,"['43_11', '43_35', '43_7']","['41_17', '41_3', '41_0']"
42_22,"['43_15', '43_11', '43_14']","['41_0', '41_8', '41_22']"
42_23,"['43_9', '43_28', '43_13']","['41_23', '41_10', '41_19']"
42_24,"['43_14', '43_33', '43_16']","['41_11', '41_9', '41_0']"
42_25,"['43_20', '43_31', '43_23']","['41_21', '41_1', '41_3']"
42_26,"['43_27', '43_16', '43_33']","['41_9', '41_19', '41_16']"
42_27,"['43_5', '43_11', '43_26']","['41_8', '41_13', '41_0']"
42_28,"['43_5', '43_35', '43_7']","['41_8', '41_18', '41_24']"
42_29,"['43_30', '43_34', '43_3']","['41_15', '41_13', '41_21']"
42_30,"['43_5', '43_29', '43_26']","['41_13', '41_0', '41_8']"
43_0,"['44_3', '44_6', '44_19']","['42_0', '42_8', '42_22']"
43_1,"['44_0', '44_18', '44_36']","['42_4', '42_19', '42_3']"
43_2,"['44_15', '44_5', '44_2']","['42_2', '42_10', '42_0']"
43_3,"['44_16', '44_19', '44_2']","['42_0', '42_8', '42_5']"
43_4,"['44_5', '44_15', '44_22']","['42_7', '42_2', '42_17']"
43_5,"['44_1', '44_7', '44_24']","['42_27', '42_30', '42_28']"
43_6,"['44_4', '44_2', '44_27']","['42_10', '42_8', '42_24']"
43_7,"['44_2', '44_21', '44_27']","['42_5', '42_21', '42_10']"
43_8,"['44_18', '44_36', '44_29']","['42_3', '42_18', '42_6']"
43_9,"['44_32', '44_20', '44_14']","['42_12', '42_6', '42_18']"
43_10,"['44_12', '44_29', '44_27']","['42_13', '42_18', '42_8']"
43_11,"['44_21', '44_24', '44_27']","['42_21', '42_8', '42_0']"
43_12,"['44_20', '44_8', '44_7']","['42_6', '42_15', '42_12']"
43_13,"['44_28', '44_10', '44_2']","['42_19', '42_18', '42_12']"
43_14,"['44_27', '44_13', '44_34']","['42_8', '42_0', '42_5']"
43_15,"['44_33', '44_17', '44_19']","['42_22', '42_0', '42_8']"
43_16,"['44_14', '44_32', '44_20']","['42_12', '42_6', '42_17']"
43_17,"['44_8', '44_20', '44_30']","['42_15', '42_6', '42_17']"
43_18,"['44_9', '44_11', '44_23']","['42_9', '42_19', '42_6']"
43_19,"['44_26', '44_1', '44_20']","['42_20', '42_21', '42_12']"
43_20,"['44_10', '44_2', '44_16']","['42_11', '42_25', '42_29']"
43_21,"['44_23', '44_9', '44_7']","['42_9', '42_6', '42_1']"
43_22,"['44_7', '44_20', '44_1']","['42_6', '42_18', '42_12']"
43_23,"['44_30', '44_20', '44_8']","['42_1', '42_15', '42_6']"
43_24,"['44_2', '44_4', '44_15']","['42_10', '42_5', '42_2']"
43_25,"['44_25', '44_16', '44_2']","['42_0', '42_5', '42_22']"
43_26,"['44_1', '44_2', '44_9']","['42_19', '42_27', '42_0']"
43_27,"['44_13', '44_14', '44_31']","['42_26', '42_16', '42_12']"
43_28,"['44_29', '44_36', '44_20']","['42_18', '42_6', '42_13']"
43_29,"['44_19', '44_16', '44_3']","['42_0', '42_8', '42_22']"
43_30,"['44_10', '44_35', '44_16']","['42_29', '42_11', '42_19']"
43_31,"['44_10', '44_28', '44_35']","['42_11', '42_25', '42_29']"
43_32,"['44_22', '44_8', '44_5']","['42_17', '42_7', '42_6']"
43_33,"['44_31', '44_1', '44_13']","['42_16', '42_27', '42_8']"
43_34,"['44_35', '44_10', '44_1']","['42_29', '42_11', '42_19']"
43_35,"['44_1', '44_24', '44_21']","['42_14', '42_21', '42_28']"
43_36,"['44_8', '44_20', '44_22']","['42_17', '42_15', '42_6']"
44_0,"['45_30', '45_10', '45_5']","['43_1', '43_8', '43_26']"
44_1,"['45_20', '45_18', '45_32']","['43_5', '43_35', '43_11']"
44_2,"['45_3', '45_14', '45_32']","['43_7', '43_24', '43_11']"
44_3,"['45_0', '45_6', '45_14']","['43_0', '43_11', '43_29']"
44_4,"['45_37', '45_3', '45_22']","['43_6', '43_24', '43_14']"
44_5,"['45_23', '45_32', '45_13']","['43_4', '43_2', '43_32']"
44_6,"['45_0', '45_6', '45_11']","['43_0', '43_11', '43_29']"
44_7,"['45_1', '45_5', '45_34']","['43_22', '43_12', '43_5']"
44_8,"['45_19', '45_28', '45_34']","['43_17', '43_36', '43_12']"
44_9,"['45_1', '45_5', '45_9']","['43_18', '43_21', '43_26']"
44_10,"['45_26', '45_14', '45_15']","['43_20', '43_31', '43_30']"
44_11,"['45_9', '45_5', '45_1']","['43_18', '43_23', '43_26']"
44_12,"['45_24', '45_21', '45_0']","['43_10', '43_28', '43_14']"
44_13,"['45_7', '45_4', '45_14']","['43_14', '43_27', '43_33']"
44_14,"['45_16', '45_31', '45_4']","['43_16', '43_9', '43_12']"
44_15,"['45_13', '45_25', '45_23']","['43_2', '43_24', '43_4']"
