topic,successors,antecedents
7_3,"['8_0', '8_8', '8_9']","['6_0', '6_4', '6_2']"
7_4,"['8_8', '8_1', '8_9']","['6_0', '6_1', '6_4']"
7_5,"['8_4', '8_11', '8_1']","['6_0', '6_1', '6_4']"
7_6,"['8_3', '8_7', '8_1']","['6_0', '6_4', '6_1']"
7_7,"['8_0', '8_5', '8_6']","['6_0', '6_4', '6_2']"
7_8,"['8_7', '8_3', '8_11']","['6_0', '6_4', '6_1']"
7_9,"['8_6', '8_0', '8_9']","['6_0', '6_2', '6_1']"
7_10,"['8_5', '8_0', '8_9']","['6_0', '6_4', '6_2']"
7_11,"['8_0', '8_7', '8_5']","['6_0', '6_4', '6_2']"
7_12,"['8_11', '8_4', '8_7']","['6_0', '6_4', '6_1']"
7_13,"['8_0', '8_6', '8_5']","['6_0', '6_3', '6_4']"
7_14,"['8_7', '8_0', '8_3']","['6_4', '6_0', '6_2']"
7_15,"['8_10', '8_2', '8_8']","['6_0', '6_1', '6_4']"
8_0,"['9_0', '9_6', '9_7']","['7_0', '7_3', '7_11']"
8_1,"['9_1', '9_4', '9_12']","['7_2', '7_5', '7_4']"
8_2,"['9_2', '9_10', '9_1']","['7_1', '7_15', '7_4']"
8_3,"['9_5', '9_11', '9_1']","['7_6', '7_8', '7_12']"
8_4,"['9_4', '9_8', '9_1']","['7_5', '7_12', '7_2']"
8_5,"['9_3', '9_0', '9_1']","['7_10', '7_7', '7_0']"
8_6,"['9_7', '9_0', '9_6']","['7_9', '7_0', '7_7']"
8_7,"['9_11', '9_8', '9_5']","['7_8', '7_12', '7_6']"
8_8,"['9_12', '9_6', '9_1']","['7_4', '7_2', '7_15']"
8_9,"['9_6', '9_0', '9_7']","['7_4', '7_0', '7_9']"
8_10,"['9_10', '9_2', '9_1']","['7_15', '7_4', '7_2']"
8_11,"['9_8', '9_11', '9_4']","['7_12', '7_5', '7_8']"
9_0,"['10_14', '10_1', '10_18']","['8_0', '8_9', '8_7']"
9_1,"['10_2', '10_5', '10_9']","['8_1', '8_4', '8_8']"
9_2,"['10_4', '10_13', '10_9']","['8_2', '8_10', '8_1']"
9_3,"['10_0', '10_18', '10_9']","['8_5', '8_0', '8_1']"
9_4,"['10_5', '10_2', '10_9']","['8_4', '8_1', '8_11']"
9_5,"['10_15', '10_10', '10_0']","['8_3', '8_7', '8_11']"
9_6,"['10_6', '10_1', '10_13']","['8_9', '8_0', '8_8']"
9_7,"['10_13', '10_9', '10_15']","['8_6', '8_9', '8_3']"
9_8,"['10_5', '10_9', '10_10']","['8_11', '8_4', '8_7']"
9_9,"['10_13', '10_4', '10_6']","['8_9', '8_2', '8_6']"
9_10,"['10_9', '10_4', '10_2']","['8_10', '8_8', '8_2']"
9_11,"['10_10', '10_14', '10_15']","['8_7', '8_11', '8_3']"
9_12,"['10_9', '10_0', '10_2']","['8_8', '8_11', '8_1']"
10_0,"['11_0', '11_3', '11_1']","['9_3', '9_1', '9_0']"
10_1,"['11_0', '11_2', '11_3']","['9_0', '9_6', '9_8']"
10_2,"['11_0', '11_1', '11_3']","['9_1', '9_4', '9_10']"
10_3,"['11_1', '11_2', '11_0']","['9_0', '9_6', '9_3']"
10_4,"['11_0', '11_2', '11_3']","['9_2', '9_10', '9_1']"
10_5,"['11_0', '11_3', '11_2']","['9_4', '9_1', '9_8']"
10_6,"['11_0', '11_1', '11_2']","['9_0', '9_6', '9_7']"
10_7,"['11_0', '11_2', '11_1']","['9_0', '9_7', '9_6']"
10_8,"['11_2', '11_1', '11_0']","['9_0', '9_9', '9_7']"
10_9,"['11_0', '11_1', '11_3']","['9_12', '9_1', '9_10']"
10_10,"['11_0', '11_3', '11_1']","['9_11', '9_5', '9_8']"
10_11,"['11_0', '11_2', '11_1']","['9_0', '9_6', '9_8']"
10_12,"['11_0', '11_2', '11_1']","['9_0', '9_7', '9_6']"
10_13,"['11_0', '11_2', '11_1']","['9_9', '9_7', '9_6']"
10_14,"['11_0', '11_2', '11_1']","['9_0', '9_11', '9_6']"
10_15,"['11_0', '11_3', '11_1']","['9_5', '9_11', '9_7']"
10_16,"['11_0', '11_1', '11_3']","['9_0', '9_6', '9_3']"
10_17,"['11_0', '11_3', '11_1']","['9_0', '9_6', '9_3']"
10_18,"['11_0', '11_2', '11_1']","['9_0', '9_6', '9_7']"
11_0,"['12_12', '12_4', '12_2']","['10_1', '10_18', '10_14']"
11_1,"['12_10', '12_11', '12_8']","['10_3', '10_7', '10_8']"
11_2,"['12_10', '12_11', '12_8']","['10_8', '10_7', '10_3']"
11_3,"['12_0', '12_10', '12_9']","['10_0', '10_7', '10_3']"
12_0,"['13_2', '13_4', '13_0']","['11_0', '11_3', '11_1']"
12_1,"['13_0', '13_10', '13_7']","['11_0', '11_3', '11_1']"
12_2,"['13_0', '13_4', '13_2']","['11_0', '11_1', '11_2']"
12_3,"['13_1', '13_3', '13_4']","['11_0', '11_2', '11_1']"
12_4,"['13_1', '13_4', '13_6']","['11_0', '11_2', '11_1']"
12_5,"['13_9', '13_0', '13_7']","['11_0', '11_3', '11_1']"
12_6,"['13_8', '13_6', '13_1']","['11_0', '11_3', '11_1']"
12_7,"['13_6', '13_1', '13_4']","['11_0', '11_3', '11_2']"
12_8,"['13_1', '13_4', '13_3']","['11_0', '11_2', '11_1']"
12_9,"['13_1', '13_6', '13_4']","['11_0', '11_1', '11_3']"
12_10,"['13_1', '13_2', '13_4']","['11_2', '11_1', '11_0']"
12_11,"['13_1', '13_3', '13_4']","['11_2', '11_0', '11_1']"
12_12,"['13_4', '13_1', '13_6']","['11_0', '11_2', '11_1']"
12_13,"['13_1', '13_8', '13_6']","['11_0', '11_2', '11_1']"
12_14,"['13_0', '13_7', '13_5']","['11_0', '11_2', '11_1']"
13_0,"['14_0', '14_2', '14_1']","['12_2', '12_1', '12_12']"
13_1,"['14_0', '14_1', '14_2']","['12_3', '12_4', '12_13']"
13_2,"['14_0', '14_1', '14_2']","['12_0', '12_2', '12_12']"
13_3,"['14_1', '14_0', '14_2']","['12_3', '12_11', '12_8']"
13_4,"['14_0', '14_1', '14_2']","['12_12', '12_2', '12_3']"
13_5,"['14_2', '14_0', '14_1']","['12_14', '12_5', '12_1']"
13_6,"['14_0', '14_1', '14_2']","['12_7', '12_12', '12_13']"
13_7,"['14_0', '14_2', '14_1']","['12_2', '12_1', '12_12']"
13_8,"['14_0', '14_1', '14_2']","['12_6', '12_13', '12_7']"
13_9,"['14_0', '14_2', '14_1']","['12_5', '12_1', '12_2']"
