window1,topic1,topic1_words,window2,successors,successors_words,successors_similarities,coverage_forward,coverage_backward,coverage_sum_forward,coverage_sum_backward,relation,topics_from,topics_from_words,topic_to,topic_to_words,antecedents_similarities
0,0.0,"['kamala', 'community', 'help', 'helene', 'work', 'family', 'harris', 'federal', 'need', 'biden']",1,[],[],[],[],[],0.0,0.0,disappeared,,,,,
0,2.0,"['rosh', 'hashanah', 'year', 'new', 'wish', 'celebrate', 'jewish', 'shana', 'tovah', 'may']",1,[4],"[['rosh', 'hashanah', 'year', 'new', 'wish', 'celebrate', 'jewish', 'shana', 'tovah', 'may']]",[0.999],[1.0],[1.0],1.0,1.0,continued,,,,,
0,4.0,"['jimmy', 'carter', 'birthday', 'president', 'happy', 'th', 'service', 'wish', 'we', 'thank']",1,[7],"[['jimmy', 'carter', 'birthday', 'president', 'happy', 'th', 'service', 'wish', 'legacy', 'compassion']]",[0.999],[1.0],[1.0],1.0,1.0,continued,,,,,
0,5.0,"['hate', 'haitian', 'racist', 'higgins', 'hindu', 'community', 'higgin', 'antisemitism', 'censure', 'place']",1,[],[],[],[],[],0.0,0.0,disappeared,,,,,
0,,,1,,,,"[1.0, 0.535]","[0.543, 0.457]",1.535,1.0,merge,"[1, 3]","[['israel', 'iran', 'attack', 'stand', 'hezbollah', 'must', 'missile', 'terrorist', 'defend', 'united'], ['joe', 'biden', 'kamala', 'harris', 'iran', 'israel', 'administration', 'attack', 'world', 'weakness']]",2.0,"['israel', 'iran', 'attack', 'stand', 'must', 'missile', 'ally', 'joe', 'biden', 'defend']","[0.985, 0.83]"
1,0.0,"['community', 'great', 'work', 'service', 'help', 'thank', 'support', 'veteran', 'join', 'today']",2,[],[],[],[],[],0.0,0.0,disappeared,,,,,
1,1.0,"['helene', 'hurricane', 'federal', 'emergency', 'disaster', 'help', 'county', 'agency', 'management', 'assistance']",2,"[3, 5]","[['helene', 'hurricane', 'federal', 'emergency', 'help', 'agency', 'management', 'assistance', 'disaster', 'county'], ['milton', 'hurricane', 'evacuation', 'shelter', 'storm', 'county', 'florida', 'evacuate', 'please', 'mayor']]","[0.996, 0.797]","[0.397, 0.318]","[0.573, 1.0]",0.715,1.573,split,,,,,
1,2.0,"['israel', 'iran', 'attack', 'stand', 'must', 'missile', 'ally', 'joe', 'biden', 'defend']",2,[0],"[['israel', 'attack', 'hamas', 'hostage', 'terrorist', 'one', 'year', 'iran', 'stand', 'october']]",[0.891],[1.0],[1.0],1.0,1.0,unclear,,,,,
1,3.0,"['kamala', 'border', 'harris', 'biden', 'joe', 'illegal', 'alien', 'management', 'agency', 'immigrant']",2,"[1, 6]","[['kamala', 'biden', 'joe', 'harris', 'illegal', 'border', 'management', 'agency', 'emergency', 'federal'], ['election', 'donald', 'chinese', 'investigation', 'trump', 'security', 'communist', 'china', 'bureau', 'party']]","[0.985, 0.73]","[0.574, 0.426]","[0.574, 0.43]",1.0,1.004,unclear,,,,,
1,4.0,"['rosh', 'hashanah', 'year', 'new', 'wish', 'celebrate', 'jewish', 'shana', 'tovah', 'may']",2,[4],"[['rosh', 'hashanah', 'wish', 'new', 'year', 'celebrate', 'tovah', 'shana', 'may', 'jewish']]",[1.0],[1.0],[1.0],1.0,1.0,continued,,,,,
1,5.0,"['care', 'abortion', 'medicare', 'donald', 'republicans', 'act', 'project', 'drug', 'health', 'trump']",2,"[9, 14]","[['medicare', 'care', 'donald', 'trump', 'cost', 'health', 'affordable', 'act', 'project', 'senior'], ['abortion', 'woman', 'reproductive', 'ban', 'supreme', 'court', 'care', 'freedom', 'donald', 'texas']]","[0.943, 0.803]","[0.383, 0.327]","[1.0, 1.0]",0.71,2.0,split,,,,,
1,6.0,"['election', 'donald', 'trump', 'doj', 'vote', 'investigation', 'attempt', 'voter', 'secret', 'federal']",2,"[1, 6]","[['kamala', 'biden', 'joe', 'harris', 'illegal', 'border', 'management', 'agency', 'emergency', 'federal'], ['election', 'donald', 'chinese', 'investigation', 'trump', 'security', 'communist', 'china', 'bureau', 'party']]","[0.73, 0.966]","[0.431, 0.569]","[0.426, 0.57]",1.0,0.996,unclear,,,,,
1,7.0,"['jimmy', 'carter', 'birthday', 'president', 'happy', 'th', 'service', 'wish', 'legacy', 'compassion']",2,[],[],[],[],[],0.0,0.0,disappeared,,,,,
1,8.0,"['strike', 'port', 'worker', 'economy', 'contract', 'union', 'joe', 'biden', 'ila', 'bargaining']",2,[12],"[['worker', 'port', 'strike', 'union', 'fair', 'contract', 'bargaining', 'ila', 'collective', 'economy']]",[0.98],[1.0],[1.0],1.0,1.0,continued,,,,,
1,9.0,"['star', 'gold', 'mother', 'family', 'sacrifice', 'honor', 'day', 'love', 'service', 'one']",2,[],[],[],[],[],0.0,0.0,disappeared,,,,,
1,10.0,"['teacher', 'educator', 'worldteachersday', 'day', 'world', 'thank', 'happy', 'shape', 'student', 'inspire']",2,[11],"[['teacher', 'worldteachersday', 'educator', 'day', 'world', 'happy', 'thank', 'shape', 'inspire', 'student']]",[0.997],[1.0],[1.0],1.0,1.0,continued,,,,,
1,11.0,"['cancer', 'breast', 'breastcancerawarenessmonth', 'awareness', 'detection', 'screening', 'early', 'month', 'survivor', 'woman']",2,[13],"[['cancer', 'breast', 'breastcancerawarenessmonth', 'awareness', 'detection', 'screening', 'early', 'month', 'research', 'survivor']]",[0.987],[1.0],[1.0],1.0,1.0,continued,,,,,
1,12.0,"['passport', 'lebanon', 'travel', 'citizen', 'state', 'statedept', 'renew', 'flight', 'embassy', 'online']",2,[],[],[],[],[],0.0,0.0,disappeared,,,,,
1,13.0,"['violence', 'domestic', 'survivor', 'awareness', 'month', 'support', 'prevention', 'suicide', 'safe', 'help']",2,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,0.0,"['israel', 'attack', 'hamas', 'hostage', 'terrorist', 'one', 'year', 'iran', 'stand', 'october']",3,[1],"[['israel', 'hamas', 'attack', 'hostage', 'year', 'one', 'terrorist', 'october', 'people', 'stand']]",[0.995],[1.0],[1.0],1.0,1.0,continued,,,,,
2,1.0,"['kamala', 'biden', 'joe', 'harris', 'illegal', 'border', 'management', 'agency', 'emergency', 'federal']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,2.0,"['veteran', 'service', 'housing', 'academy', 'community', 'honor', 'great', 'join', 'thank', 'help']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,3.0,"['helene', 'hurricane', 'federal', 'emergency', 'help', 'agency', 'management', 'assistance', 'disaster', 'county']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,4.0,"['rosh', 'hashanah', 'wish', 'new', 'year', 'celebrate', 'tovah', 'shana', 'may', 'jewish']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,5.0,"['milton', 'hurricane', 'evacuation', 'shelter', 'storm', 'county', 'florida', 'evacuate', 'please', 'mayor']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,6.0,"['election', 'donald', 'chinese', 'investigation', 'trump', 'security', 'communist', 'china', 'bureau', 'party']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,7.0,"['water', 'lead', 'pipe', 'environmental', 'clean', 'protection', 'replace', 'drinking', 'infrastructure', 'protect']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,8.0,"['manufacturing', 'economy', 'job', 'manufacture', 'manufacturingday', 'manufacturer', 'ohio', 'mfgday', 'business', 'work']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,9.0,"['medicare', 'care', 'donald', 'trump', 'cost', 'health', 'affordable', 'act', 'project', 'senior']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,10.0,"['child', 'care', 'family', 'childcareweekofaction', 'childcare', 'kid', 'cost', 'work', 'pay', 'affordable']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,11.0,"['teacher', 'worldteachersday', 'educator', 'day', 'world', 'happy', 'thank', 'shape', 'inspire', 'student']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,12.0,"['worker', 'port', 'strike', 'union', 'fair', 'contract', 'bargaining', 'ila', 'collective', 'economy']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,13.0,"['cancer', 'breast', 'breastcancerawarenessmonth', 'awareness', 'detection', 'screening', 'early', 'month', 'research', 'survivor']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,14.0,"['abortion', 'woman', 'reproductive', 'ban', 'supreme', 'court', 'care', 'freedom', 'donald', 'texas']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,15.0,"['farmer', 'farm', 'agriculture', 'bill', 'crop', 'producer', 'harvest', 'food', 'support', 'pass']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,16.0,"['game', 'wps', 'win', 'cumberland', 'night', 'football', 'player', 'cheer', 'congrat', 'go']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,17.0,"['vote', 'register', 'election', 'voter', 'registration', 'deadline', 'november', 'voice', 'voting', 'check']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,18.0,"['job', 'unemployment', 'economy', 'september', 'report', 'wage', 'growth', 'expectation', 'create', 'add']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
2,19.0,"['climate', 'energy', 'clean', 'reduction', 'act', 'emission', 'change', 'inflation', 'weather', 'rebate']",3,[],[],[],[],[],0.0,0.0,disappeared,,,,,
3,0.0,"['kamala', 'hurricane', 'federal', 'help', 'community', 'need', 'milton', 'work', 'biden', 'joe']",4,[],[],[],[],[],0.0,0.0,disappeared,,,,,
3,1.0,"['israel', 'hamas', 'attack', 'hostage', 'year', 'one', 'terrorist', 'october', 'people', 'stand']",4,[3],"[['israel', 'hamas', 'iran', 'attack', 'hostage', 'october', 'jewish', 'must', 'terrorist', 'hold']]",[0.956],[1.0],[1.0],1.0,1.0,continued,,,,,
