topic,timepoint1,timepoint2,similarity
0,0,1,0.994267928239244
0,1,2,0.9929844267903557
0,2,3,0.9886004988834282
0,3,4,0.9961316400940694
0,4,5,0.9978099715558957
0,5,6,0.9988704980853799
0,6,7,0.9973909499942829
0,7,8,0.9979147801162007
0,8,9,0.9977000292779351
0,9,10,0.9978359854011472
0,10,11,0.9991379754395934
0,11,12,0.9974468783680531
0,12,13,0.9991769115072193
0,13,14,0.9987164082299063
0,14,15,0.989927783590503
0,15,16,0.9883350224394009
0,16,17,0.9976123875272483
0,17,18,0.9945822714047304
0,18,19,0.9973764469566611
0,19,20,0.9985233092011176
0,20,21,0.9986590899048089
0,21,22,0.9964660417576205
0,22,23,0.9874919756806159
0,23,24,0.9952236951112928
0,24,25,0.9972773720983674
0,25,26,0.9983113162603265
0,26,27,0.9842819294158242
0,27,28,0.9745447466051568
0,28,29,0.9972181653387517
0,29,30,0.9917978041046932
0,30,31,0.9961687985290331
0,31,32,0.9861774366126241
0,32,33,0.9947025787830803
0,33,34,0.9899848816662562
0,34,35,0.9955571733981945
0,35,36,0.9809388054689843
0,36,37,0.9949988251450591
0,37,38,0.9845574887432841
0,38,39,0.9633665641583996
0,39,40,0.9377602642868448
0,40,41,0.9977426713922077
0,41,42,0.9991599321123789
0,42,43,0.9954760847856327
0,43,44,0.9961771282885266
0,44,45,0.9973260252765814
1,0,1,0.9829032652209326
1,1,2,0.991122925855275
1,2,3,0.9990892951502615
1,3,4,0.9918057998258765
1,4,5,0.9939790768419977
1,5,6,0.9951790527835164
1,6,7,0.9973360186581968
1,7,8,0.9970130416826467
1,8,9,0.9968273533470889
1,9,10,0.9927539531326728
1,10,11,0.9980131066636325
1,11,12,0.9974369176408033
1,12,13,0.9970278745381234
1,13,14,0.9915769374559352
1,14,15,0.9979738566983183
1,15,16,0.9977610180219665
1,16,17,0.9974083293216933
1,17,18,0.9943446544054442
1,18,19,0.9974806975145919
1,19,20,0.998685084215421
1,20,21,0.998102118733936
1,21,22,0.996131796012388
1,22,23,0.9939550532054967
1,23,24,0.9905902685405289
1,24,25,0.996754413731223
1,25,26,0.9975668490347213
1,26,27,0.9859792933693541
1,27,28,0.9876626764891137
1,28,29,0.9984371799032797
1,29,30,0.9943610528722809
1,30,31,0.9940827038109734
1,31,32,0.9877886731531645
1,32,33,0.9975755980698607
1,33,34,0.9972926264904812
1,34,35,0.9963247361004526
1,35,36,0.9973929346996699
1,36,37,0.9866231243814683
1,37,38,0.9943727008830265
1,38,39,0.987478708528062
1,39,40,0.973413905989613
1,40,41,0.9947694853358916
1,41,42,0.9938634855253637
1,42,43,0.9979374695013539
1,43,44,0.9951156702233774
1,44,45,0.9954534975084384
2,0,1,0.9972746148684074
2,1,2,0.9966100047018618
2,2,3,0.9987323141746509
2,3,4,0.9973274481967989
2,4,5,0.9978010158374107
2,5,6,0.9977294492176526
2,6,7,0.9971230345793874
2,7,8,0.9989118471658245
2,8,9,0.9961134440429915
2,9,10,0.9991593156682115
2,10,11,0.9994375780756077
2,11,12,0.9916963980850267
2,12,13,0.9941008932221911
2,13,14,0.9957390206998135
2,14,15,0.9964189220291819
2,15,16,0.9981382075441257
2,16,17,0.9966558066407881
