year,cv,npmi,umass,diversity,tq
1970,0.3110828721671185,-0.05178327611978656,-0.271041285237742,0.6610612244897961,0.20564482439259807
1971,0.359868596183056,-0.02907735064336746,-0.26132790245397364,0.520734693877551,0.18739606326952768
1972,0.34408639427140747,-0.031218587876609714,-0.2148436554788054,0.5577142857142858,0.19190189760508214
1973,0.34229907082509564,-0.03182227391190758,-0.36056202114085606,0.5334693877551022,0.18260607574220414
1974,0.3308678830353083,-0.04010882259366613,-0.17844831402096661,0.5731428571428571,0.18963456381966523
1975,0.33482754481211185,-0.04368963990027215,-0.1679325770832592,0.5380408163265306,0.18015088553931666
1976,0.3819025981212267,-0.011239035277981585,-0.2644059889693779,0.49289795918367346,0.18823901122089523
1977,0.4007050883084113,-0.019166107490802997,-0.20026203685742205,0.5209795918367347,0.20875917335381886
1978,0.3960770724437973,-0.013833594239621359,-0.32855764619537686,0.5325714285714285,0.2109393322957823
1979,0.3660616468321147,-0.02327069435401582,-0.19982534586718695,0.5884081632653061,0.21539366125435774
1980,0.36040828689674803,-0.0265365359787728,-0.14353728885956163,0.4770612244897958,0.17193681866323224
1981,0.38069846503673843,-0.027821060968853596,-0.25827346209449475,0.5008979591836735,0.19069108420125938
1982,0.34601940897653855,-0.04370556279887577,-0.5757488509070767,0.5464489795918368,0.18908195295419994
1983,0.35236127325557,-0.028891357706752364,-0.3109974205598612,0.541795918367347,0.19090789964058924
1984,0.363905401568318,-0.027163891463767093,-0.19025862685667985,0.4968979591836735,0.1808238513752124
1985,0.3548108318622925,-0.0346821068858049,-0.28359513722972696,0.568,0.20153255249778212
1986,0.3508642921318732,-0.026031883643579348,-0.24423096496825547,0.5491428571428572,0.19267461985070294
1987,0.34398514809126973,-0.033501824308428144,-0.25422870296438077,0.5666938775510204,0.19493427739180363
1988,0.3885515592170689,-0.021788810250423795,-0.2889983829302867,0.5426938775510205,0.2108645523000061
1989,0.3399215755749856,-0.039649099467557944,-0.3014868631958667,0.6020408163265306,0.20464666284616478
1990,0.3439464646632315,-0.04562404020639032,-0.40210724344216564,0.6484897959183672,0.22304577267630288
1991,0.3458358423838543,-0.0393437056159686,-0.36258746866081315,0.6104489795918367,0.21111513708950713
1992,0.3466212176759334,-0.028511782040789916,-1.3358097644314342,0.6759183673469389,0.23428764753932482
1993,0.3259159374556717,-0.032218947411182364,-0.3935640096084091,0.676,0.2203191737200341
1994,0.3222458495156436,-0.030360287852631448,-1.2635923115512029,0.7013061224489796,0.22599298719909341
1995,0.326644624626914,-0.041745033195747024,-1.290406851562072,0.6697142857142857,0.2187585714644247
1996,0.33362421909860196,-0.04038182952143665,-1.2388577099252416,0.6053877551020409,0.2019720170477741
1997,0.3510363227433202,-0.0236164504509062,-1.3116130264947463,0.6451428571428572,0.22646857621554775
1998,0.3306367597174254,-0.04405977725456264,-1.3454856724690598,0.6747755102040817,0.22310558823055007
1999,0.3306555978521785,-0.036810690784554435,-1.3260202430289731,0.665795918367347,0.22014914743529534
2000,0.3655004603035852,-0.023741460282096272,-1.3070134838512604,0.6540408163265305,0.23905221942467952
2001,0.357753189820881,-0.03110689860359107,-1.2395473756535949,0.5972244897959184,0.21365896626363798
2002,0.3271410603603623,-0.05164827883629482,-1.3050811431049423,0.6523265306122448,0.2134027929256861
2003,0.3326120755588232,-0.043514018045741405,-1.1801196681320385,0.6301224489795918,0.2095863356113107
2004,0.3375008113416069,-0.03168393521952522,-1.2238247673349567,0.6328163265306123,0.2135760236342969
2005,0.3387175047997823,-0.03805534864660413,-1.2223322348050534,0.6581224489795917,0.22291759377108933
2006,0.3524841000915106,-0.03236042927734784,-0.45210164119322443,0.6671020408163265,0.23514286252635302
2007,0.37776294986806297,-0.02212388182443177,-0.4559118387395193,0.5977142857142858,0.2257943117497108
2008,0.46246962981098455,0.016325169049241518,-0.392263229493912,0.5140408163265306,0.23772826603426694
2009,0.4129964826809912,0.0011583343254104993,-0.40326663630203924,0.5026122448979592,0.20757708929525412
2010,0.3766415737572709,-0.021533892538882927,-0.41615101316753383,0.5789387755102041,0.21805241151727064
2011,0.3511654568130475,-0.03412049579654037,-0.4163286920982504,0.697469387755102,0.24492715616413696
2012,0.32796747190206765,-0.04048875949118484,-0.7689092693199926,0.6890612244897959,0.22598966778166146
2013,0.46936286176426184,-0.045578880419127846,-2.80264169484696,0.5122448979591837,0.24042873123026476
2014,0.46353399403952883,-0.008496615984559351,-2.535447148881795,0.5288163265306123,0.24512434395004637
2015,0.42695766378595756,-0.012421069527846346,-0.37997885670100695,0.4974693877551021,0.21239836760094902
