window1,topic1,topic1_words,window2,successors,successors_words,successors_similarities,coverage_forward,coverage_backward,coverage_sum_forward,coverage_sum_backward,relation,topics_from,topics_from_words,topic_to,topic_to_words,antecedents_similarities
0,0.0,"['power', 'republic', 'africa', 'delegation', 'charter', 'relation', 'interest', 'south', 'question', 'agreement']",1,[0],"[['power', 'africa', 'delegation', 'relation', 'interest', 'republic', 'south', 'agreement', 'resource', 'charter']]",[0.989],[0.905],[0.833],0.905,0.833,continued,,,,,
0,1.0,"['israel', 'arab', 'aggression', 'israeli', 'territory', 'palestine', 'occupy', 'charter', 'republic', 'middle']",1,[],[],[],[],[],0.0,0.0,disappeared,,,,,
1,0.0,"['power', 'africa', 'delegation', 'relation', 'interest', 'republic', 'south', 'agreement', 'resource', 'charter']",2,[0],"[['africa', 'south', 'power', 'delegation', 'independence', 'special', 'republic', 'interest', 'relation', 'african']]",[0.992],[0.946],[0.987],0.946,0.987,continued,,,,,
1,1.0,"['republic', 'soviet', 'relation', 'union', 'socialist', 'nuclear', 'europe', 'democratic', 'german', 'disarmament']",2,[1],"[['soviet', 'republic', 'union', 'socialist', 'relation', 'detente', 'disarmament', 'weapon', 'military', 'arm']]",[0.961],[0.933],[0.857],0.933,0.857,continued,,,,,
2,0.0,"['africa', 'south', 'power', 'delegation', 'independence', 'special', 'republic', 'interest', 'relation', 'african']",3,[0],"[['africa', 'republic', 'delegation', 'independence', 'relation', 'power', 'interest', 'struggle', 'african', 'south']]",[0.972],[0.445],[0.988],0.445,0.988,unclear,,,,,
2,1.0,"['soviet', 'republic', 'union', 'socialist', 'relation', 'detente', 'disarmament', 'weapon', 'military', 'arm']",3,[5],"[['soviet', 'socialist', 'union', 'detente', 'nuclear', 'relation', 'republic', 'weapon', 'disarmament', 'struggle']]",[0.965],[0.929],[1.0],0.929,1.0,continued,,,,,
3,0.0,"['africa', 'republic', 'delegation', 'independence', 'relation', 'power', 'interest', 'struggle', 'african', 'south']",4,[],[],[],[],[],0.0,0.0,disappeared,,,,,
3,1.0,"['africa', 'south', 'negotiation', 'african', 'nuclear', 'trade', 'resource', 'increase', 'special', 'namibia']",4,[],[],[],[],[],0.0,0.0,disappeared,,,,,
3,2.0,"['africa', 'south', 'african', 'regime', 'namibia', 'struggle', 'delegation', 'power', 'independence', 'zimbabwe']",4,[],[],[],[],[],0.0,0.0,disappeared,,,,,
3,3.0,"['panama', 'latin', 'relation', 'special', 'mean', 'america', 'delegation', 'possible', 'power', 'interest']",4,[],[],[],[],[],0.0,0.0,disappeared,,,,,
3,4.0,"['arab', 'lebanon', 'israel', 'zionist', 'lebanese', 'palestinian', 'middle', 'africa', 'settlement', 'palestine']",4,[1],"[['arab', 'israel', 'lebanon', 'palestinian', 'africa', 'territory', 'middle', 'settlement', 'interest', 'independence']]",[0.986],[1.0],[0.851],1.0,0.851,continued,,,,,
3,5.0,"['soviet', 'socialist', 'union', 'detente', 'nuclear', 'relation', 'republic', 'weapon', 'disarmament', 'struggle']",4,[],[],[],[],[],0.0,0.0,disappeared,,,,,
3,6.0,"['nuclear', 'weapon', 'disarmament', 'arm', 'negotiation', 'energy', 'measure', 'agreement', 'special', 'treaty']",4,[],[],[],[],[],0.0,0.0,disappeared,,,,,
4,0.0,"['africa', 'south', 'independence', 'relation', 'republic', 'negotiation', 'struggle', 'power', 'special', 'disarmament']",5,[0],"[['africa', 'south', 'republic', 'independence', 'relation', 'negotiation', 'nuclear', 'military', 'interest', 'power']]",[0.985],[0.792],[0.823],0.792,0.823,continued,,,,,
4,1.0,"['arab', 'israel', 'lebanon', 'palestinian', 'africa', 'territory', 'middle', 'settlement', 'interest', 'independence']",5,[],[],[],[],[],0.0,0.0,disappeared,,,,,
5,0.0,"['africa', 'south', 'republic', 'independence', 'relation', 'negotiation', 'nuclear', 'military', 'interest', 'power']",6,[3],"[['africa', 'south', 'african', 'independence', 'namibia', 'question', 'interest', 'foreign', 'crisis', 'power']]",[0.96],[0.402],[0.975],0.402,0.975,unclear,,,,,
5,1.0,"['disarmament', 'charter', 'economy', 'arm', 'nuclear', 'negotiation', 'increase', 'relation', 'law', 'mankind']",6,[0],"[['charter', 'economy', 'increase', 'relation', 'present', 'mankind', 'purpose', 'crisis', 'law', 'interest']]",[0.98],[0.697],[0.884],0.697,0.884,continued,,,,,
5,2.0,"['israel', 'palestinian', 'arab', 'lebanon', 'middle', 'territory', 'massacre', 'israeli', 'aggression', 'occupy']",6,[1],"[['israel', 'palestinian', 'arab', 'lebanon', 'middle', 'territory', 'massacre', 'israeli', 'aggression', 'beirut']]",[0.999],[0.889],[0.899],0.889,0.899,continued,,,,,
5,3.0,"['latin', 'american', 'america', 'panama', 'spain', 'states', 'meeting', 'canal', 'central', 'cuba']",6,[4],"[['latin', 'american', 'panama', 'america', 'interamerican', 'canal', 'meeting', 'states', 'oas', 'cuba']]",[0.994],[0.9],[0.965],0.9,0.965,continued,,,,,
5,4.0,"['south', 'angola', 'africa', 'namibia', 'african', 'cuban', 'independence', 'regime', 'angolan', 'pretoria']",6,[2],"[['africa', 'south', 'african', 'namibia', 'angola', 'regime', 'independence', 'apartheid', 'racist', 'oau']]",[0.98],[0.987],[0.672],0.987,0.672,continued,,,,,
5,5.0,"['kittani', 'pleasure', 'delegation', 'congratulation', 'cuellar', 'thirtyseventh', 'perez', 'congratulate', 'behalf', 'de']",6,[10],"[['kittani', 'delegation', 'pleasure', 'congratulation', 'thirtyseventh', 'success', 'tribute', 'presidency', 'congratulate', 'behalf']]",[0.99],[0.921],[1.0],0.921,1.0,continued,,,,,
5,6.0,"['oau', 'morocco', 'african', 'sahara', 'continent', 'referendum', 'africa', 'legitimacy', 'leader', 'western']",6,[],[],[],[],[],0.0,0.0,disappeared,,,,,
5,7.0,"['afghanistan', 'afghan', 'withdrawal', 'foreign', 'soviet', 'troop', 'nonaligne', 'sovereignty', 'intervention', 'status']",6,[8],"[['afghanistan', 'foreign', 'afghan', 'kampuchea', 'troop', 'withdrawal', 'soviet', 'somalia', 'nonaligne', 'pakistan']]",[0.968],[0.963],[0.767],0.963,0.767,continued,,,,,
5,8.0,"['korea', 'cyprus', 'korean', 'reunification', 'dialogue', 'peninsula', 'peaceful', 'question', 'republic', 'integrity']",6,[11],"[['korea', 'cyprus', 'korean', 'reunification', 'peninsula', 'dialogue', 'question', 'peaceful', 'republic', 'status']]",[1.0],[0.952],[0.952],0.952,0.952,continued,,,,,
6,0.0,"['charter', 'economy', 'increase', 'relation', 'present', 'mankind', 'purpose', 'crisis', 'law', 'interest']",7,[],[],[],[],[],0.0,0.0,disappeared,,,,,
6,1.0,"['israel', 'palestinian', 'arab', 'lebanon', 'middle', 'territory', 'massacre', 'israeli', 'aggression', 'beirut']",7,[],[],[],[],[],0.0,0.0,disappeared,,,,,
6,2.0,"['africa', 'south', 'african', 'namibia', 'angola', 'regime', 'independence', 'apartheid', 'racist', 'oau']",7,[],[],[],[],[],0.0,0.0,disappeared,,,,,
6,3.0,"['africa', 'south', 'african', 'independence', 'namibia', 'question', 'interest', 'foreign', 'crisis', 'power']",7,[0],"[['africa', 'south', 'nuclear', 'african', 'relation', 'interest', 'independence', 'peaceful', 'arm', 'weapon']]",[0.967],[0.966],[0.435],0.966,0.435,unclear,,,,,
6,4.0,"['latin', 'american', 'panama', 'america', 'interamerican', 'canal', 'meeting', 'states', 'oas', 'cuba']",7,[],[],[],[],[],0.0,0.0,disappeared,,,,,
6,5.0,"['nuclear', 'soviet', 'states', 'weapon', 'union', 'arm', 'military', 'republic', 'disarmament', 'europe']",7,[],[],[],[],[],0.0,0.0,disappeared,,,,,
6,6.0,"['lebanon', 'palestinian', 'israel', 'arab', 'south', 'question', 'middle', 'disarmament', 'territory', 'negotiation']",7,[1],"[['lebanon', 'arab', 'israel', 'palestinian', 'territory', 'islamic', 'regime', 'palestine', 'middle', 'lebanese']]",[0.968],[1.0],[0.906],1.0,0.906,continued,,,,,
6,7.0,"['america', 'american', 'central', 'latin', 'guatemala', 'crisis', 'foreign', 'interest', 'group', 'democracy']",7,[],[],[],[],[],0.0,0.0,disappeared,,,,,
6,8.0,"['afghanistan', 'foreign', 'afghan', 'kampuchea', 'troop', 'withdrawal', 'soviet', 'somalia', 'nonaligne', 'pakistan']",7,[],[],[],[],[],0.0,0.0,disappeared,,,,,
6,9.0,"['disarmament', 'arm', 'nuclear', 'special', 'weapon', 'race', 'second', 'failure', 'deterrence', 'complete']",7,[],[],[],[],[],0.0,0.0,disappeared,,,,,
6,10.0,"['kittani', 'delegation', 'pleasure', 'congratulation', 'thirtyseventh', 'success', 'tribute', 'presidency', 'congratulate', 'behalf']",7,[],[],[],[],[],0.0,0.0,disappeared,,,,,
6,11.0,"['korea', 'cyprus', 'korean', 'reunification', 'peninsula', 'dialogue', 'question', 'peaceful', 'republic', 'status']",7,[],[],[],[],[],0.0,0.0,disappeared,,,,,
7,0.0,"['africa', 'south', 'nuclear', 'african', 'relation', 'interest', 'independence', 'peaceful', 'arm', 'weapon']",8,[2],"[['south', 'africa', 'charter', 'trade', 'foreign', 'interest', 'peaceful', 'nuclear', 'african', 'delegation']]",[0.962],[0.408],[0.988],0.408,0.988,unclear,,,,,
7,1.0,"['lebanon', 'arab', 'israel', 'palestinian', 'territory', 'islamic', 'regime', 'palestine', 'middle', 'lebanese']",8,[4],"[['lebanon', 'israel', 'palestinian', 'arab', 'lebanese', 'palestine', 'middle', 'question', 'territory', 'aggression']]",[0.951],[0.781],[0.947],0.781,0.947,continued,,,,,
8,0.0,"['nuclear', 'disarmament', 'weapon', 'agreement', 'soviet', 'republic', 'relation', 'arm', 'states', 'military']",9,[3],"[['weapon', 'soviet', 'relation', 'europe', 'nuclear', 'agreement', 'military', 'disarmament', 'negotiation', 'union']]",[0.971],[0.909],[0.891],0.909,0.891,continued,,,,,
8,1.0,"['america', 'central', 'american', 'latin', 'democracy', 'states', 'republic', 'agreement', 'debt', 'negotiation']",9,[1],"[['america', 'central', 'south', 'agreement', 'africa', 'relation', 'debt', 'dialogue', 'drug', 'disarmament']]",[0.987],[0.976],[0.737],0.976,0.737,continued,,,,,
8,2.0,"['south', 'africa', 'charter', 'trade', 'foreign', 'interest', 'peaceful', 'nuclear', 'african', 'delegation']",9,[],[],[],[],[],0.0,0.0,disappeared,,,,,
8,3.0,"['africa', 'south', 'african', 'regime', 'apartheid', 'namibia', 'independence', 'struggle', 'delegation', 'measure']",9,[2],"[['africa', 'south', 'african', 'namibia', 'apartheid', 'republic', 'party', 'angola', 'debt', 'dialogue']]",[0.989],[0.889],[0.915],0.889,0.915,continued,,,,,
8,4.0,"['lebanon', 'israel', 'palestinian', 'arab', 'lebanese', 'palestine', 'middle', 'question', 'territory', 'aggression']",9,[7],"[['palestinian', 'nuclear', 'middle', 'israel', 'weapon', 'disarmament', 'palestine', 'australia', 'sweden', 'australian']]",[0.923],[0.474],[0.846],0.474,0.846,unclear,,,,,
8,5.0,"['african', 'africa', 'south', 'programme', 'apartheid', 'debt', 'resource', 'recovery', 'regime', 'special']",9,[],[],[],[],[],0.0,0.0,disappeared,,,,,
8,6.0,"['afghanistan', 'pakistan', 'agreement', 'geneva', 'afghan', 'refugee', 'violation', 'nuclear', 'soviet', 'inside']",9,[8],"[['afghanistan', 'agreement', 'geneva', 'afghan', 'pakistan', 'refugee', 'violation', 'extremist', 'provision', 'republic']]",[0.997],[0.955],[0.958],0.955,0.958,continued,,,,,
8,7.0,"['balkan', 'relation', 'albania', 'settlement', 'foreign', 'fleet', 'andcooperation', 'ceasefire', 'turkey', 'ofthe']",9,[],[],[],[],[],0.0,0.0,disappeared,,,,,
9,0.0,"['african', 'africa', 'programme', 'debt', 'resource', 'environment', 'relation', 'economy', 'south', 'growth']",10,[],[],[],[],[],0.0,0.0,disappeared,,,,,
9,1.0,"['america', 'central', 'south', 'agreement', 'africa', 'relation', 'debt', 'dialogue', 'drug', 'disarmament']",10,[12],"[['america', 'central', 'american', 'democracy', 'guatemala', 'nicaragua', 'drug', 'trade', 'freedom', 'agreement']]",[0.916],[0.434],[0.968],0.434,0.968,unclear,,,,,
9,2.0,"['africa', 'south', 'african', 'namibia', 'apartheid', 'republic', 'party', 'angola', 'debt', 'dialogue']",10,[5],"[['africa', 'south', 'apartheid', 'african', 'violence', 'angola', 'mozambique', 'democratic', 'angolan', 'party']]",[0.914],[0.329],[0.942],0.329,0.942,disappeared,,,,,
9,4.0,"['arab', 'kuwait', 'europe', 'south', 'organisation', 'namibia', 'africa', 'peaceful', 'relation', 'democratic']",10,[2],"[['africa', 'african', 'south', 'namibia', 'organisation', 'delegation', 'relation', 'kuwait', 'republic', 'crisis']]",[0.987],[0.973],[0.681],0.973,0.681,continued,,,,,
9,6.0,"['islamic', 'iran', 'iraq', 'aggression', 'republic', 'persian', 'kuwait', 'gulf', 'iraqi', 'occupation']",10,[9],"[['iran', 'islamic', 'iraq', 'iraqi', 'gulf', 'republic', 'aggression', 'kuwait', 'persian', 'crisis']]",[0.99],[0.941],[1.0],0.941,1.0,continued,,,,,
9,7.0,"['palestinian', 'nuclear', 'middle', 'israel', 'weapon', 'disarmament', 'palestine', 'australia', 'sweden', 'australian']",10,[7],"[['israel', 'palestinian', 'arab', 'territory', 'israeli', 'lebanon', 'middle', 'occupy', 'negotiation', 'settlement']]",[0.941],[0.923],[0.867],0.923,0.867,continued,,,,,
9,8.0,"['afghanistan', 'agreement', 'geneva', 'afghan', 'pakistan', 'refugee', 'violation', 'extremist', 'provision', 'republic']",10,[],[],[],[],[],0.0,0.0,disappeared,,,,,
9,,,10,,,,"[0.696, 0.892]","[0.303, 0.545]",1.588,0.848,merge,"[3, 5]","[['weapon', 'soviet', 'relation', 'europe', 'nuclear', 'agreement', 'military', 'disarmament', 'negotiation', 'union'], ['kuwait', 'crisis', 'arab', 'europe', 'gulf', 'aggression', 'south', 'environment', 'peaceful', 'malta']]",0.0,"['republic', 'europe', 'crisis', 'weapon', 'relation', 'democratic', 'south', 'nuclear', 'democracy', 'peaceful']","[0.913, 0.962]"
10,0.0,"['republic', 'europe', 'crisis', 'weapon', 'relation', 'democratic', 'south', 'nuclear', 'democracy', 'peaceful']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,1.0,"['fortyseventh', 'shihabi', 'boutrosghali', 'congratulate', 'presidency', 'congratulation', 'samir', 'boutros', 'predecessor', 'sir']",11,[1],"[['shihabi', 'congratulate', 'presidency', 'sir', 'fortyseventh', 'predecessor', 'congratulation', 'samir', 'boutrosghali', 'extend']]",[0.997],[0.944],[0.965],0.944,0.965,continued,,,,,
