window1,topic1,topic1_words,window2,successors,successors_words,successors_similarities,coverage_forward,coverage_backward,coverage_sum_forward,coverage_sum_backward,relation,topics_from,topics_from_words,topic_to,topic_to_words,antecedents_similarities
10,2.0,"['africa', 'african', 'south', 'namibia', 'organisation', 'delegation', 'relation', 'kuwait', 'republic', 'crisis']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,3.0,"['bosnia', 'herzegovina', 'yugoslavia', 'ethnic', 'law', 'serbian', 'aggression', 'cleansing', 'violation', 'republic']",11,[2],"[['bosnia', 'herzegovina', 'yugoslavia', 'croatia', 'ethnic', 'republic', 'aggression', 'crisis', 'bosnian', 'serbia']]",[0.979],[0.887],[0.909],0.887,0.909,continued,,,,,
10,4.0,"['peacekeeping', 'operation', 'preventive', 'diplomacy', 'regional', 'humanitarian', 'agenda', 'financial', 'charter', 'military']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,5.0,"['africa', 'south', 'apartheid', 'african', 'violence', 'angola', 'mozambique', 'democratic', 'angolan', 'party']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,6.0,"['environment', 'rio', 'environmental', 'sustainable', 'earth', 'agenda', 'convention', 'protection', 'resource', 'programme']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,7.0,"['israel', 'palestinian', 'arab', 'territory', 'israeli', 'lebanon', 'middle', 'occupy', 'negotiation', 'settlement']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,8.0,"['cold', 'freedom', 'superpower', 'long', 'era', 'challenge', 'free', 'russia', 'confrontation', 'ethnic']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,9.0,"['iran', 'islamic', 'iraq', 'iraqi', 'gulf', 'republic', 'aggression', 'kuwait', 'persian', 'crisis']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,10.0,"['weapon', 'nuclear', 'disarmament', 'treaty', 'chemical', 'nonproliferation', 'convention', 'mass', 'destruction', 'arm']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,11.0,"['commission', 'charter', 'membership', 'agenda', 'effective', 'implementation', 'sustainable', 'secretariat', 'promote', 'present']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,12.0,"['america', 'central', 'american', 'democracy', 'guatemala', 'nicaragua', 'drug', 'trade', 'freedom', 'agreement']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,13.0,"['trade', 'uruguay', 'round', 'economy', 'gatt', 'tariff', 'agreement', 'negotiation', 'market', 'programme']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,14.0,"['rio', 'africa', 'debt', 'cent', 'environment', 'economy', 'product', 'african', 'resource', 'sustainable']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,15.0,"['latvia', 'estonia', 'russia', 'moldova', 'republic', 'russian', 'soviet', 'citizenship', 'azerbaijani', 'armenia']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
10,16.0,"['somalia', 'somali', 'humanitarian', 'faction', 'tragedy', 'assistance', 'africa', 'suffering', 'crisis', 'horn']",11,[],[],[],[],[],0.0,0.0,disappeared,,,,,
11,0.0,"['africa', 'south', 'republic', 'agreement', 'democracy', 'regional', 'agenda', 'ofthe', 'democratic', 'resource']",12,[],[],[],[],[],0.0,0.0,disappeared,,,,,
11,1.0,"['shihabi', 'congratulate', 'presidency', 'sir', 'fortyseventh', 'predecessor', 'congratulation', 'samir', 'boutrosghali', 'extend']",12,[2],"[['portugal', 'fiftieth', 'freita', 'amaral', 'congratulation', 'boutrosghali', 'amara', 'boutros', 'essy', 'diogo']]",[0.906],[0.81],[0.63],0.81,0.63,continued,,,,,
11,2.0,"['bosnia', 'herzegovina', 'yugoslavia', 'croatia', 'ethnic', 'republic', 'aggression', 'crisis', 'bosnian', 'serbia']",12,[8],"[['bosnia', 'croatia', 'herzegovina', 'balkan', 'albania', 'serb', 'republic', 'bosnian', 'yugoslavia', 'greece']]",[0.955],[0.848],[0.944],0.848,0.944,continued,,,,,
12,1.0,"['iraq', 'arab', 'israel', 'israeli', 'palestinian', 'middle', 'libya', 'iraqi', 'stability', 'territory']",13,[4],"[['israel', 'arab', 'iraq', 'israeli', 'palestinian', 'middle', 'agreement', 'lebanon', 'negotiation', 'stability']]",[0.992],[0.942],[0.872],0.942,0.872,continued,,,,,
12,2.0,"['portugal', 'fiftieth', 'freita', 'amaral', 'congratulation', 'boutrosghali', 'amara', 'boutros', 'essy', 'diogo']",13,[2],"[['malaysia', 'razali', 'delegation', 'presidency', 'ismail', 'reform', 'tribute', 'portugal', 'congratulation', 'fiftyfirst']]",[0.971],[0.711],[0.719],0.711,0.719,continued,,,,,
12,3.0,"['nuclear', 'treaty', 'weapon', 'disarmament', 'nuclearweapon', 'nonproliferation', 'comprehensive', 'test', 'threat', 'convention']",13,[3],"[['nuclear', 'weapon', 'treaty', 'disarmament', 'nonproliferation', 'asia', 'nuclearweapon', 'convention', 'india', 'ctbt']]",[0.986],[0.933],[0.834],0.933,0.834,continued,,,,,
12,5.0,"['peacekeeping', 'operation', 'unitednation', 'union', 'european', 'theunite', 'ofthe', 'regional', 'personnel', 'financial']",13,[7],"[['peacekeeping', 'reform', 'european', 'unitednation', 'operation', 'union', 'europe', 'theunite', 'regional', 'latvia']]",[0.985],[0.945],[0.78],0.945,0.78,continued,,,,,
12,6.0,"['reform', 'century', 'common', 'theunite', 'charter', 'unitednation', 'financial', 'ofthe', 'justice', 'come']",13,[1],"[['reform', 'century', 'unitednation', 'power', 'financial', 'challenge', 'history', 'delegation', 'let', 'increase']]",[0.981],[0.864],[0.66],0.864,0.66,continued,,,,,
12,7.0,"['africa', 'south', 'african', 'apartheid', 'delegation', 'insanally', 'mozambique', 'guyana', 'tribute', 'fortyninth']",13,[],[],[],[],[],0.0,0.0,disappeared,,,,,
12,8.0,"['bosnia', 'croatia', 'herzegovina', 'balkan', 'albania', 'serb', 'republic', 'bosnian', 'yugoslavia', 'greece']",13,[8],"[['bosnia', 'croatia', 'herzegovina', 'albania', 'european', 'republic', 'greece', 'kosovo', 'balkan', 'relation']]",[0.98],[0.887],[0.857],0.887,0.857,continued,,,,,
12,9.0,"['afghanistan', 'tajikistan', 'islamic', 'taliban', 'pakistan', 'afghan', 'kabul', 'kashmir', 'india', 'turkmenistan']",13,[9],"[['afghanistan', 'taliban', 'tajikistan', 'islamic', 'turkmenistan', 'afghan', 'central', 'kabul', 'military', 'pakistani']]",[0.981],[0.966],[0.882],0.966,0.882,continued,,,,,
12,10.0,"['paraguay', 'bolivia', 'american', 'america', 'latin', 'democracy', 'mercosur', 'drug', 'uzbekistan', 'argentina']",13,[6],"[['america', 'democracy', 'bolivia', 'central', 'drug', 'american', 'reform', 'latin', 'society', 'integration']]",[0.981],[0.978],[0.847],0.978,0.847,continued,,,,,
12,12.0,"['ukraine', 'armenia', 'azerbaijan', 'azerbaijani', 'karabakh', 'georgia', 'nagorny', 'republic', 'activity', 'financial']",13,[],[],[],[],[],0.0,0.0,disappeared,,,,,
12,13.0,"['resource', 'poverty', 'woman', 'poor', 'growth', 'environment', 'individual', 'summit', 'water', 'rich']",13,[],[],[],[],[],0.0,0.0,disappeared,,,,,
12,15.0,"['myanmar', 'thailand', 'asean', 'drug', 'reform', 'group', 'law', 'race', 'theunite', 'delegation']",13,[],[],[],[],[],0.0,0.0,disappeared,,,,,
12,16.0,"['haiti', 'haitian', 'caribbean', 'democracy', 'reconciliation', 'justice', 'democratic', 'return', 'million', 'life']",13,[],[],[],[],[],0.0,0.0,disappeared,,,,,
12,,,13,,,,"[0.718, 0.966]","[0.401, 0.426]",1.684,0.826,merge,"[0, 4]","[['africa', 'debt', 'african', 'trade', 'programme', 'agenda', 'poverty', 'resource', 'continent', 'financial'], ['burundi', 'rwanda', 'refugee', 'liberia', 'african', 'somalia', 'africa', 'party', 'angola', 'zaire']]",0.0,"['africa', 'african', 'republic', 'ofthe', 'congo', 'continent', 'burundi', 'initiative', 'democratic', 'reform']","[0.966, 0.964]"
12,,,13,,,,"[0.927, 0.909]","[0.331, 0.39]",1.836,0.721,merge,"[11, 14]","[['island', 'pacific', 'small', 'papua', 'fiji', 'forum', 'guinea', 'resource', 'islands', 'sustainable'], ['caribbean', 'small', 'island', 'trade', 'saint', 'banana', 'lucia', 'barbado', 'tobago', 'jamaica']]",5.0,"['island', 'small', 'caribbean', 'trade', 'resource', 'programme', 'sustainable', 'economy', 'pacific', 'ofthe']","[0.936, 0.958]"
13,0.0,"['africa', 'african', 'republic', 'ofthe', 'congo', 'continent', 'burundi', 'initiative', 'democratic', 'reform']",14,[0],"[['africa', 'african', 'debt', 'republic', 'continent', 'leone', 'sierra', 'angola', 'initiative', 'congo']]",[0.995],[0.884],[0.922],0.884,0.922,continued,,,,,
13,3.0,"['nuclear', 'weapon', 'treaty', 'disarmament', 'nonproliferation', 'asia', 'nuclearweapon', 'convention', 'india', 'ctbt']",14,[7],"[['nuclear', 'weapon', 'treaty', 'disarmament', 'india', 'nonproliferation', 'nuclearweapon', 'arm', 'test', 'pakistan']]",[0.987],[0.79],[0.986],0.79,0.986,continued,,,,,
13,4.0,"['israel', 'arab', 'iraq', 'israeli', 'palestinian', 'middle', 'agreement', 'lebanon', 'negotiation', 'stability']",14,[3],"[['iraq', 'israel', 'palestinian', 'arab', 'israeli', 'lebanon', 'middle', 'jerusalem', 'kuwait', 'iraqi']]",[0.996],[0.886],[0.874],0.886,0.874,continued,,,,,
13,5.0,"['island', 'small', 'caribbean', 'trade', 'resource', 'programme', 'sustainable', 'economy', 'pacific', 'ofthe']",14,[2],"[['island', 'small', 'caribbean', 'pacific', 'trade', 'forum', 'programme', 'papua', 'address', 'resource']]",[0.987],[0.831],[0.768],0.831,0.768,continued,,,,,
13,6.0,"['america', 'democracy', 'bolivia', 'central', 'drug', 'american', 'reform', 'latin', 'society', 'integration']",14,[5],"[['america', 'bolivia', 'chile', 'financial', 'latin', 'commitment', 'argentina', 'ofthe', 'democracy', 'peru']]",[0.993],[0.881],[0.956],0.881,0.956,continued,,,,,
13,7.0,"['peacekeeping', 'reform', 'european', 'unitednation', 'operation', 'union', 'europe', 'theunite', 'regional', 'latvia']",14,[8],"[['peacekeeping', 'operation', 'unitednation', 'capacity', 'theunite', 'reform', 'law', 'regional', 'report', 'ofthe']]",[0.981],[0.725],[0.931],0.725,0.931,continued,,,,,
13,8.0,"['bosnia', 'croatia', 'herzegovina', 'albania', 'european', 'republic', 'greece', 'kosovo', 'balkan', 'relation']",14,[6],"[['kosovo', 'croatia', 'european', 'bosnia', 'europe', 'republic', 'herzegovina', 'stability', 'cyprus', 'albania']]",[0.986],[0.911],[0.867],0.911,0.867,continued,,,,,
13,9.0,"['afghanistan', 'taliban', 'tajikistan', 'islamic', 'turkmenistan', 'afghan', 'central', 'kabul', 'military', 'pakistani']",14,[11],"[['afghanistan', 'taliban', 'tajikistan', 'kyrgyzstan', 'pakistani', 'afghan', 'central', 'kazakhstan', 'pakistan', 'asia']]",[0.988],[1.0],[0.9],1.0,0.9,continued,,,,,
13,10.0,"['debt', 'trade', 'financial', 'globalization', 'economy', 'poor', 'market', 'poverty', 'wto', 'benefit']",14,[9],"[['globalization', 'economy', 'financial', 'market', 'trade', 'debt', 'rich', 'poverty', 'poor', 'crisis']]",[0.978],[0.879],[0.907],0.879,0.907,continued,,,,,
13,,,14,,,,"[0.563, 0.708]","[0.492, 0.392]",1.271,0.884,merge,"[1, 2]","[['reform', 'century', 'unitednation', 'power', 'financial', 'challenge', 'history', 'delegation', 'let', 'increase'], ['malaysia', 'razali', 'delegation', 'presidency', 'ismail', 'reform', 'tribute', 'portugal', 'congratulation', 'fiftyfirst']]",1.0,"['millennium', 'summit', 'reform', 'delegation', 'sir', 'challenge', 'extend', 'congratulate', 'unitednation', 'century']","[0.945, 0.942]"
14,0.0,"['africa', 'african', 'debt', 'republic', 'continent', 'leone', 'sierra', 'angola', 'initiative', 'congo']",15,[0],"[['africa', 'african', 'republic', 'continent', 'congo', 'poverty', 'sierra', 'ofthe', 'democratic', 'leone']]",[0.994],[0.934],[0.91],0.934,0.91,continued,,,,,
14,1.0,"['millennium', 'summit', 'reform', 'delegation', 'sir', 'challenge', 'extend', 'congratulate', 'unitednation', 'century']",15,"[1, 2]","[['congratulate', 'kofi', 'annan', 'han', 'seungsoo', 'congratulation', 'sir', 'delegation', 'fiftysixth', 'behalf'], ['globalization', 'millennium', 'summit', 'poverty', 'challenge', 'poor', 'trade', 'reform', 'unitednation', 'economy']]","[0.931, 0.941]","[0.414, 0.497]","[0.795, 0.456]",0.912,1.251,unclear,,,,,
14,2.0,"['island', 'small', 'caribbean', 'pacific', 'trade', 'forum', 'programme', 'papua', 'address', 'resource']",15,[3],"[['island', 'small', 'pacific', 'islands', 'resource', 'china', 'republic', 'ocean', 'caribbean', 'trade']]",[0.988],[0.858],[0.689],0.858,0.689,continued,,,,,
