start_year,end_year,num_docs,cv,npmi,umass,diversity,tq,topics,topic_doc_counts
1970,1973,358,0.5338905544073318,0.06736571560443233,-0.22963116111390164,0.8,0.4271124435258655,"['power | republic | africa | delegation | charter | relation | interest | south | question | agreement', 'israel | arab | aggression | israeli | territory | palestine | occupy | charter | republic | middle']","[274, 32]"
1972,1975,462,0.5036674660447813,0.04457150471484288,-0.3726598461419055,0.8,0.40293397283582505,"['power | africa | delegation | relation | interest | republic | south | agreement | resource | charter', 'republic | soviet | relation | union | socialist | nuclear | europe | democratic | german | disarmament']","[390, 45]"
1974,1977,453,0.5305466501422214,0.04732557907638157,-0.2736524921025628,0.8,0.42443732011377716,"['africa | south | power | delegation | independence | special | republic | interest | relation | african', 'soviet | republic | union | socialist | relation | detente | disarmament | weapon | military | arm']","[393, 28]"
1976,1979,632,0.5719195349444066,0.06669246999546789,-0.3210028139297793,0.8238095238095237,0.47738525424305217,"['africa | republic | delegation | independence | relation | power | interest | struggle | african | south', 'africa | south | negotiation | african | nuclear | trade | resource | increase | special | namibia', 'africa | south | african | regime | namibia | struggle | delegation | power | independence | zimbabwe', 'panama | latin | relation | special | mean | america | delegation | possible | power | interest', 'arab | lebanon | israel | zionist | lebanese | palestinian | middle | africa | settlement | palestine', 'soviet | socialist | union | detente | nuclear | relation | republic | weapon | disarmament | struggle', 'nuclear | weapon | disarmament | arm | negotiation | energy | measure | agreement | special | treaty']","[82, 82, 76, 64, 37, 30, 26]"
1978,1981,619,0.5233024985537293,0.04248867720546271,-0.18203209819831995,0.8,0.4186419988429835,"['africa | south | independence | relation | republic | negotiation | struggle | power | special | disarmament', 'arab | israel | lebanon | palestinian | africa | territory | middle | settlement | interest | independence']","[552, 67]"
1980,1983,1362,0.6845083233641227,0.15933252607861295,-0.7298357080448608,0.9722222222222222,0.6690320527486961,"['africa | south | republic | independence | relation | negotiation | nuclear | military | interest | power', 'disarmament | charter | economy | arm | nuclear | negotiation | increase | relation | law | mankind', 'israel | palestinian | arab | lebanon | middle | territory | massacre | israeli | aggression | occupy', 'latin | american | america | panama | spain | states | meeting | canal | central | cuba', 'south | angola | africa | namibia | african | cuban | independence | regime | angolan | pretoria', 'kittani | pleasure | delegation | congratulation | cuellar | thirtyseventh | perez | congratulate | behalf | de', 'oau | morocco | african | sahara | continent | referendum | africa | legitimacy | leader | western', 'afghanistan | afghan | withdrawal | foreign | soviet | troop | nonaligne | sovereignty | intervention | status', 'korea | cyprus | korean | reunification | dialogue | peninsula | peaceful | question | republic | integrity']","[485, 290, 153, 110, 78, 38, 33, 27, 21]"
1982,1985,1403,0.6672584866183215,0.13485581865421634,-0.7628769401682604,0.943939393939394,0.6322811859728975,"['charter | economy | increase | relation | present | mankind | purpose | crisis | law | interest', 'israel | palestinian | arab | lebanon | middle | territory | massacre | israeli | aggression | beirut', 'africa | south | african | namibia | angola | regime | independence | apartheid | racist | oau', 'africa | south | african | independence | namibia | question | interest | foreign | crisis | power', 'latin | american | panama | america | interamerican | canal | meeting | states | oas | cuba', 'nuclear | soviet | states | weapon | union | arm | military | republic | disarmament | europe', 'lebanon | palestinian | israel | arab | south | question | middle | disarmament | territory | negotiation', 'america | american | central | latin | guatemala | crisis | foreign | interest | group | democracy', 'afghanistan | foreign | afghan | kampuchea | troop | withdrawal | soviet | somalia | nonaligne | pakistan', 'disarmament | arm | nuclear | special | weapon | race | second | failure | deterrence | complete', 'kittani | delegation | pleasure | congratulation | thirtyseventh | success | tribute | presidency | congratulate | behalf', 'korea | cyprus | korean | reunification | peninsula | dialogue | question | peaceful | republic | status']","[181, 138, 131, 118, 86, 85, 54, 53, 43, 38, 30, 21]"
1984,1987,565,0.570875175405612,0.053870713446628485,-0.38424820206284455,1.0,0.570875175405612,"['africa | south | nuclear | african | relation | interest | independence | peaceful | arm | weapon', 'lebanon | arab | israel | palestinian | territory | islamic | regime | palestine | middle | lebanese']","[522, 32]"
1986,1989,651,0.5781446051383663,0.06968399368757194,-0.8597781711776669,0.9142857142857143,0.5306965452817791,"['nuclear | disarmament | weapon | agreement | soviet | republic | relation | arm | states | military', 'america | central | american | latin | democracy | states | republic | agreement | debt | negotiation', 'south | africa | charter | trade | foreign | interest | peaceful | nuclear | african | delegation', 'africa | south | african | regime | apartheid | namibia | independence | struggle | delegation | measure', 'lebanon | israel | palestinian | arab | lebanese | palestine | middle | question | territory | aggression', 'african | africa | south | programme | apartheid | debt | resource | recovery | regime | special', 'afghanistan | pakistan | agreement | geneva | afghan | refugee | violation | nuclear | soviet | inside', 'balkan | relation | albania | settlement | foreign | fleet | andcooperation | ceasefire | turkey | ofthe']","[88, 83, 82, 54, 38, 37, 22, 20]"
1988,1991,856,0.5316691052729909,0.035989197989733504,-0.884690253139997,0.8611111111111112,0.46065618814674614,"['african | africa | programme | debt | resource | environment | relation | economy | south | growth', 'america | central | south | agreement | africa | relation | debt | dialogue | drug | disarmament', 'africa | south | african | namibia | apartheid | republic | party | angola | debt | dialogue', 'weapon | soviet | relation | europe | nuclear | agreement | military | disarmament | negotiation | union', 'arab | kuwait | europe | south | organisation | namibia | africa | peaceful | relation | democratic', 'kuwait | crisis | arab | europe | gulf | aggression | south | environment | peaceful | malta', 'islamic | iran | iraq | aggression | republic | persian | kuwait | gulf | iraqi | occupation', 'palestinian | nuclear | middle | israel | weapon | disarmament | palestine | australia | sweden | australian', 'afghanistan | agreement | geneva | afghan | pakistan | refugee | violation | extremist | provision | republic']","[113, 99, 82, 46, 37, 37, 34, 26, 24]"
