start_year,end_year,num_docs,cv,npmi,umass,diversity,tq,topics,topic_doc_counts
1990,1993,1874,0.6445800628821454,0.13410941704534537,-1.2036835908053332,0.9595588235294118,0.6206962761445415,"['republic | europe | crisis | weapon | relation | democratic | south | nuclear | democracy | peaceful', 'fortyseventh | shihabi | boutrosghali | congratulate | presidency | congratulation | samir | boutros | predecessor | sir', 'africa | african | south | namibia | organisation | delegation | relation | kuwait | republic | crisis', 'bosnia | herzegovina | yugoslavia | ethnic | law | serbian | aggression | cleansing | violation | republic', 'peacekeeping | operation | preventive | diplomacy | regional | humanitarian | agenda | financial | charter | military', 'africa | south | apartheid | african | violence | angola | mozambique | democratic | angolan | party', 'environment | rio | environmental | sustainable | earth | agenda | convention | protection | resource | programme', 'israel | palestinian | arab | territory | israeli | lebanon | middle | occupy | negotiation | settlement', 'cold | freedom | superpower | long | era | challenge | free | russia | confrontation | ethnic', 'iran | islamic | iraq | iraqi | gulf | republic | aggression | kuwait | persian | crisis', 'weapon | nuclear | disarmament | treaty | chemical | nonproliferation | convention | mass | destruction | arm', 'commission | charter | membership | agenda | effective | implementation | sustainable | secretariat | promote | present', 'america | central | american | democracy | guatemala | nicaragua | drug | trade | freedom | agreement', 'trade | uruguay | round | economy | gatt | tariff | agreement | negotiation | market | programme', 'rio | africa | debt | cent | environment | economy | product | african | resource | sustainable', 'latvia | estonia | russia | moldova | republic | russian | soviet | citizenship | azerbaijani | armenia', 'somalia | somali | humanitarian | faction | tragedy | assistance | africa | suffering | crisis | horn']","[165, 142, 94, 71, 56, 52, 50, 45, 44, 38, 36, 34, 31, 25, 23, 23, 22]"
1992,1995,2291,0.6839843054937133,0.17732647205177465,-1.1046934697095296,0.9666666666666667,0.6648750776349647,"['africa | south | republic | agreement | democracy | regional | agenda | ofthe | democratic | resource', 'shihabi | congratulate | presidency | sir | fortyseventh | predecessor | congratulation | samir | boutrosghali | extend', 'bosnia | herzegovina | yugoslavia | croatia | ethnic | republic | aggression | crisis | bosnian | serbia']","[1980, 142, 99]"
1994,1997,2382,0.6349763811188711,0.08389197735235769,-2.0526694139106,0.9772058823529413,0.6223514718244436,"['africa | debt | african | trade | programme | agenda | poverty | resource | continent | financial', 'iraq | arab | israel | israeli | palestinian | middle | libya | iraqi | stability | territory', 'portugal | fiftieth | freita | amaral | congratulation | boutrosghali | amara | boutros | essy | diogo', 'nuclear | treaty | weapon | disarmament | nuclearweapon | nonproliferation | comprehensive | test | threat | convention', 'burundi | rwanda | refugee | liberia | african | somalia | africa | party | angola | zaire', 'peacekeeping | operation | unitednation | union | european | theunite | ofthe | regional | personnel | financial', 'reform | century | common | theunite | charter | unitednation | financial | ofthe | justice | come', 'africa | south | african | apartheid | delegation | insanally | mozambique | guyana | tribute | fortyninth', 'bosnia | croatia | herzegovina | balkan | albania | serb | republic | bosnian | yugoslavia | greece', 'afghanistan | tajikistan | islamic | taliban | pakistan | afghan | kabul | kashmir | india | turkmenistan', 'paraguay | bolivia | american | america | latin | democracy | mercosur | drug | uzbekistan | argentina', 'island | pacific | small | papua | fiji | forum | guinea | resource | islands | sustainable', 'ukraine | armenia | azerbaijan | azerbaijani | karabakh | georgia | nagorny | republic | activity | financial', 'resource | poverty | woman | poor | growth | environment | individual | summit | water | rich', 'caribbean | small | island | trade | saint | banana | lucia | barbado | tobago | jamaica', 'myanmar | thailand | asean | drug | reform | group | law | race | theunite | delegation', 'haiti | haitian | caribbean | democracy | reconciliation | justice | democratic | return | million | life']","[149, 137, 135, 119, 118, 110, 103, 99, 71, 59, 45, 41, 40, 35, 33, 29, 26]"
1996,1999,2337,0.6501575386084237,0.10862627200693224,-1.7742956967188845,0.9654545454545456,0.6297262867686547,"['africa | african | republic | ofthe | congo | continent | burundi | initiative | democratic | reform', 'reform | century | unitednation | power | financial | challenge | history | delegation | let | increase', 'malaysia | razali | delegation | presidency | ismail | reform | tribute | portugal | congratulation | fiftyfirst', 'nuclear | weapon | treaty | disarmament | nonproliferation | asia | nuclearweapon | convention | india | ctbt', 'israel | arab | iraq | israeli | palestinian | middle | agreement | lebanon | negotiation | stability', 'island | small | caribbean | trade | resource | programme | sustainable | economy | pacific | ofthe', 'america | democracy | bolivia | central | drug | american | reform | latin | society | integration', 'peacekeeping | reform | european | unitednation | operation | union | europe | theunite | regional | latvia', 'bosnia | croatia | herzegovina | albania | european | republic | greece | kosovo | balkan | relation', 'afghanistan | taliban | tajikistan | islamic | turkmenistan | afghan | central | kabul | military | pakistani', 'debt | trade | financial | globalization | economy | poor | market | poverty | wto | benefit']","[397, 215, 178, 157, 149, 136, 118, 109, 56, 51, 33]"
1998,2001,2312,0.6502939769413518,0.08917459006690077,-1.989931490969417,0.9752380952380951,0.6355610315749509,"['africa | african | debt | republic | continent | leone | sierra | angola | initiative | congo', 'millennium | summit | reform | delegation | sir | challenge | extend | congratulate | unitednation | century', 'island | small | caribbean | pacific | trade | forum | programme | papua | address | resource', 'iraq | israel | palestinian | arab | israeli | lebanon | middle | jerusalem | kuwait | iraqi', 'namibia | millennium | summit | congratulate | republic | century | fiftyfourth | minister | ofthe | delegation', 'america | bolivia | chile | financial | latin | commitment | argentina | ofthe | democracy | peru', 'kosovo | croatia | european | bosnia | europe | republic | herzegovina | stability | cyprus | albania', 'nuclear | weapon | treaty | disarmament | india | nonproliferation | nuclearweapon | arm | test | pakistan', 'peacekeeping | operation | unitednation | capacity | theunite | reform | law | regional | report | ofthe', 'globalization | economy | financial | market | trade | debt | rich | poverty | poor | crisis', 'child | law | court | terrorism | convention | union | criminal | challenge | group | rule', 'afghanistan | taliban | tajikistan | kyrgyzstan | pakistani | afghan | central | kazakhstan | pakistan | asia', 'uruguay | congratulate | tribute | fiftythird | congratulation | opertti | annan | kofi | presidency | didier', 'timor | timorese | indonesia | territory | veto | zealand | humanitarian | contribute | ballot | operation', 'china | taiwan | viet | nam | republic | asean | asia | southeast | chinese | gambia']","[258, 181, 155, 151, 122, 91, 83, 69, 58, 54, 43, 40, 31, 28, 25]"
2000,2003,2083,0.6570706473768759,0.1012544363355566,-1.8211634280057487,0.9717948717948718,0.6389457010829314,"['africa | african | republic | continent | congo | poverty | sierra | ofthe | democratic | leone', 'congratulate | kofi | annan | han | seungsoo | congratulation | sir | delegation | fiftysixth | behalf', 'globalization | millennium | summit | poverty | challenge | poor | trade | reform | unitednation | economy', 'island | small | pacific | islands | resource | china | republic | ocean | caribbean | trade', 'terrorism | terrorist | september | attack | act | fight | states | convention | life | threat', 'israel | palestinian | arab | iraq | israeli | middle | territory | weapon | return | stability', 'bolivia | democracy | panama | trade | america | promote | venezuela | free | peru | chile', 'afghanistan | afghan | tajikistan | taliban | kyrgyzstan | turkmenistan | terrorism | pakistan | islamic | terrorist', 'namibia | millennium | summit | gurirab | theoben | minister | affair | congratulate | tuvalu | fiftyfifth', 'peacekeeping | operation | report | prevention | theunite | europe | unitednation | mission | capacity | osce', 'nuclear | weapon | treaty | belarus | arm | disarmament | nonproliferation | summit | comprehensive | stability', 'kosovo | bosnia | croatia | stability | european | herzegovina | europe | albanian | macedonia | republic', 'court | law | century | statute | crime | rule | humanity | individual | terrorism | paraguay']","[245, 161, 158, 151, 149, 141, 60, 56, 56, 51, 51, 39, 31]"
2002,2005,1938,0.508567678565482,0.04684348671857179,-1.4700303873212663,1.0,0.508567678565482,"['terrorism | ofthe | challenge | iraq | unitednation | poverty | africa | threat | commitment | african', 'bosnia | european | kosovo | herzegovina | stability | reform | union | europe | integration | croatia']","[1643, 48]"
2004,2007,1463,0.6141069371650208,0.09828364795940815,-1.52742257228884,0.955,0.5882565909807408,"['island | small | pacific | islands | haiti | caribbean | solomon | grenada | papua | tobago', 'poverty | democracy | ecuador | promote | goal | america | million | trade | society | increase', 'reform | africa | challenge | goal | african | commitment | partnership | poverty | implementation | summit', 'african | africa | sudan | union | darfur | agreement | chad | angola | crisis | continent', 'reform | ofthe | mandate | thesecurity | unitednation | membership | body | thegeneral | reflect | charter', 'fiftyninth | ping | sir | jean | congratulation | presidency | congratulate | julian | hunte | appreciation', 'lebanon | middle | israel | palestinian | dialogue | union | terrorism | european | reform | nuclear', 'israel | palestinian | arab | israeli | territory | road | iraq | map | gaza | occupy', 'bosnia | herzegovina | kosovo | european | serbia | balkan | macedonia | europe | albanian | albania', 'africa | debt | african | malawi | poverty | trade | goal | nepad | initiative | hivaid', 'turkmenistan | tajikistan | afghanistan | kyrgyzstan | regional | kyrgyz | terrorism | sustainable | reform | central', 'gabon | fiftyninth | annan | ofthe | jean | reform | kofi | africa | ping | congratulate', 'child | philippine | live | humanity | theunite | poverty | man | life | faith | woman', 'iraq | iraqi | terrorist | weapon | help | regime | terrorism | stability | democracy | freedom', 'terrorism | terrorist | act | attack | fight | threat | myanmar | russia | iraq | weapon', 'nuclear | japan | weapon | korea | republic | china | peaceful | treaty | nonproliferation | promote']","[129, 79, 60, 47, 44, 43, 40, 40, 34, 31, 28, 28, 26, 23, 23, 20]"
2006,2009,577,0.531142968940293,0.04987836874561261,-0.9582354246799282,0.8866666666666667,0.4731362634743381,"['reform | european | terrorism | challenge | responsibility | law | regional | democracy | iraq | europe', 'climate | small | island | challenge | address | reform | commitment | pacific | resource | fiji', 'african | africa | union | commitment | reform | agreement | somalia | darfur | republic | challenge', 'lebanon | israel | arab | palestinian | middle | terrorism | dialogue | lebanese | israeli | reform', 'food | crisis | price | africa | challenge | agriculture | energy | poverty | production | increase', 'cent | poverty | america | democracy | peru | promote | life | states | ecuador | bolivia']","[116, 108, 76, 54, 47, 33]"
2008,2011,576,0.6878240775297997,0.11290140586671205,-0.630433734248431,1.0,0.6878240775297997,"['crisis | climate | challenge | goal | financial | food | commitment | reform | address | africa', 'arab | iraq | israel | palestinian | lebanon | iraqi | settlement | israeli | middle | occupation']","[554, 22]"
2010,2013,749,0.500604804765101,0.0013337288769134925,-1.448988082466522,0.9,0.45099606841168766,"['climate | challenge | island | small | goal | nuclear | address | sustainable | commitment | pacific', 'african | africa | sudan | republic | challenge | reform | union | crisis | commitment | peaceful', 'arab | palestinian | israel | freedom | syria | law | crisis | iraq | libya | palestine', 'law | peaceful | ofthe | rule | dispute | theunite | mean | unitednation | tuvalu | sudan', 'america | crisis | latin | law | panama | ecuador | poverty | cent | paraguay | american']","[168, 115, 106, 69, 40]"
2012,2015,9757,0.5883301966810471,0.12374665403794294,-3.3310083522682716,0.9911228070175436,0.5832087165093822,"['syria | chemical | syrian | weapon | humanitarian | refugee | geneva | destruction | crisis | million', 'terrorism | terrorist | extremism | extremist | islamic | iraq | religion | islam | isil | threat', 'climate | summit | emission | impact | paris | island | disaster | convention | effect | warming', 'palestinian | israel | palestine | gaza | israeli | palestinians | twostate | occupation | jerusalem | negotiation', 'latin | america | paraguay | panama | chile | ecuador | american | caribbean | bolivia | integration', 'ashe | congratulate | sixtyeighth | john | kimoon | ban | sixtyninth | presidency | predecessor | appreciation', 'european | serbia | macedonia | kosovo | union | croatia | europe | herzegovina | bosnia | balkan', 'ebola | virus | epidemic | disease | outbreak | health | spread | africa | west | response', 'woman | japan | sexual | gender | violence | child | girl | equality | empowerment | society', 'mdgs | goal | millennium | post | agenda | mdg | target | theme | set | deadline', 'sustainable | agenda | goal | post | rio | environmental | working | implementation | janeiro | open', 'sid | island | small | samoa | vulnerability | pathway | pacific | barbado | graduation | sustainable', 'ukraine | russia | crimea | europe | ukrainian | territorial | integrity | annexation | european | russian', 'africa | continent | african | union | zimbabwe | permanent | reform | seat | sanction | ezulwini', 'nuclear | weapon | nonproliferation | disarmament | treaty | mass | zone | destruction | energy | nuclearweaponfree', 'cuba | embargo | cuban | blockade | unilateral | impose | states | lifting | lift | sponsor', 'iran | iranian | nuclear | rouhani | programme | islamic | sanction | negotiation | nuclearweapon | peaceful', 'growth | trade | economy | investment | export | cent | market | australia | financial | crisis', 'ofthe | law | rule | peaceful | dispute | unitednation | theunite | mean | sixtyseventh | commitment', 'peacekeeping | mission | peacekeeper | operation | contribute | troop | peacebuilde | ireland | police | serve', 'afghanistan | afghan | uzbekistan | tajikistan | kyrgyzstan | transition | taliban | regional | elect | military', 'kenya | attack | nairobi | condolence | terrorist | mall | condemn | family | terrorism | victim', 'mali | malian | sahel | northern | crisis | presidential | integrate | mission | stabilization | african', 'korea | korean | peninsula | republic | democratic | northeast | nuclear | north | reunification | asia', 'hunger | poverty | malnutrition | food | inequality | extreme | poor | nutrition | eradicate | cent', 'health | maternal | mortality | malaria | care | child | hivaid | rate | mdg | service', 'belize | guatemala | mexico | guatemalan | belizean | justice | drug | financial | american | bank', 'libya | libyan | libyans | neighbouring | group | house | institution | tripoli | elect | armed', 'arm | treaty | trade | att | conventional | ratify | sign | weapon | entry | disarmament', 'ocean | fishery | marine | palau | fishing | pacific | sea | blue | resource | shark', 'sudan | south | agreement | sudanese | albashir | oil | igad | abyei | matter | republic', 'guineabissau | equatorial | guinea | cplp | portuguesespeake | timorleste | guinean | ramoshorta | ecowa | republic', 'multilateralism | multilateral | reform | effective | challenge | strengthen | renew | institution | body | find', 'water | sanitation | river | resource | kyrgyzstan | drinking | access | billion | management | potable', 'arab | kuwait | syria | ofthe | crisis | syrian | freedom | greece | theunite | humanitarian', 'uganda | sixtyninth | congratulate | kutesa | sam | behalf | john | excellency | outset | delegation', 'somalia | somali | federal | alshabaab | somalis | compact | mogadishu | lay | rebuild | mohamud', 'terrorism | terrorist | boko | nigeria | haram | african | sahel | africa | french | mali', 'antigua | barbuda | ashe | john | sixtyeighth | congratulate | preside | caribbean | predecessor | congratulation', 'education | school | primary | student | enrolment | quality | secondary | universal | cent | target', 'african | central | republic | congo | mission | crisis | reconciliation | brazzaville | democratic | africa', 'turkmenistan | transport | energy | transit | corridor | route | regional | potential | silk | trade', 'icc | court | criminal | statute | rome | crime | impunity | justice | tribunal | amendment', 'cyprus | cypriot | turkey | turkish | mediterranean | malta | greek | european | bizonal | bicommunal', 'dignity | equality | value | live | justice | universal | person | freedom | humanity | ideal', 'burundi | burundian | strategic | commission | growth | office | consultation | population | millennium | socioeconomic', 'taiwan | china | specialized | participation | strait | aviation | republic | agency | icao | meaningful', 'energy | renewable | dominica | grenada | island | electricity | geothermal | sid | sustainable | fossil', 'egypt | egyptians | egyptian | map | road | arab | interest | coup | democracy | democratic', 'azerbaijan | armenia | azerbaijani | nagorno | karabakh | armenian | territory | occupy | cochair | baku', 'democracy | democratic | maldive | constitution | institution | multiparty | citizen | society | consolidate | value', 'drug | trafficking | criminal | mexico | crime | illicit | scourge | money | fuel | consumption', 'yemen | yemeni | gcc | gulf | mansour | stability | initiative | dialogue | crisis | sectarian', 'sahara | morocco | western | moroccan | algeria | maghreb | selfdetermination | kingdom | initiative | reiterate', 'reform | organ | transparent | legitimacy | representative | reflect | principal | democratic | geopolitical | membership', 'asean | indonesia | southeast | asian | association | tolerance | regional | globalism | mutual | asia', 'reparation | slavery | caribbean | lucia | saint | caricom | transatlantic | slave | memorial | native', 'piracy | gulf | maritime | guinea | seychelle | illicit | coast | illegal | yaound | indian', 'fiji | fijian | constitution | equal | democracy | islands | elite | pacific | indigenous | solomon', 'africa | growth | african | transformation | cent | economy | rate | continent | ticad | structural', 'papua | caledonia | guinea | decolonization | melanesian | committee | spearhead | polynesia | vanuatu | indigenous', 'haiti | haitian | police | long | stabilization | dominican | earthquake | despite | institution | mission', 'moldova | european | republic | transnistrian | union | partner | ofmoldova | moldovan | migration | bank', 'anniversary | seventieth | celebrate | mark | commemoration | founding | reflect | lesson | centenary | fiftieth', 'internet | privacy | brazil | cybercrime | espionage | digital | information | online | datum | cyber', 'myanmar | asean | reform | transition | wave | encouragement | democratic | democracy | amendment | lay', 'colombia | colombian | guerrilla | victim | revolucionarias | fuerzas | armadas | armed | tired | come', 'georgian | georgia | russian | caucasus | russia | abkhazia | invade | empire | come | ossetia', 'challenge | vision | meet | insurmountable | inform | rise | require | common | old | begin', 'madagascar | malagasy | electoral | presidential | transition | sadc | crisis | meet | value | despite', 'tunisia | dictatorship | democracy | transition | arab | spring | tunisian | revolution | court | islamist', 'corruption | governance | transparency | fight | sultanate | smart | public | accountable | institution | administration', 'charter | article | paragraph | enshrine | architecture | method | francisco | authorize | composition | accordance', 'argentina | debt | vulture | fund | cent | argentine | creditor | default | monetary | pay', 'spain | spanish | cultural | commitment | serve | spaniard | biennium | diversity | represent | count', 'mistake | cultural | charter | bad | rightness | imperfect | dag | hall | emotion | able']","[554, 404, 387, 337, 239, 190, 187, 187, 186, 172, 166, 142, 111, 97, 95, 94, 91, 87, 83, 82, 80, 79, 73, 71, 71, 71, 70, 67, 67, 65, 61, 60, 59, 56, 56, 54, 49, 49, 46, 45, 45, 45, 43, 42, 42, 41, 40, 40, 40, 39, 39, 35, 35, 34, 33, 33, 32, 31, 31, 29, 29, 29, 29, 28, 27, 26, 25, 25, 25, 24, 24, 23, 23, 23, 22, 22]"
