relation,similarity,window1,window2,topic_id
continued,0.13833358969777432,0,1,0
continued,-0.024742149039897795,0,1,1
continued,0.2255870626375577,0,1,2
continued,0.07690379212151682,0,1,3
continued,0.029646514895899163,0,1,4
continued,0.09540745836293131,0,1,5
continued,0.1969326786110436,0,1,6
continued,0.23096392827137474,0,1,7
continued,0.08308117015875639,0,1,8
continued,0.04926240561095242,0,1,9
continued,0.02209999977731262,0,1,10
continued,0.19008476418708453,0,1,11
continued,0.07503186735207625,0,1,12
continued,0.031782138886705794,0,1,13
continued,0.1379111506287749,0,1,14
continued,0.19788758389588718,0,1,15
continued,0.1256998111761409,0,1,16
continued,0.06798062148634341,0,1,17
continued,0.003794503260898502,0,1,18
continued,0.06585809886250375,0,1,19
continued,0.07605057850211036,0,1,20
continued,0.06780841530216038,0,1,21
continued,0.04169980822957188,0,1,22
continued,0.05890177133171453,0,1,23
continued,0.13292789703702765,0,1,24
continued,0.1643226813790137,0,1,25
continued,0.04588983806572922,0,1,26
continued,0.12981117672805678,0,1,27
continued,0.11306188868587833,0,1,28
continued,0.03520048131296766,0,1,29
continued,0.007976907169149327,0,1,30
continued,0.1798339445496154,0,1,31
continued,0.061743351490853214,0,1,32
continued,0.18287969371528556,0,1,33
continued,0.11445933033103826,0,1,34
continued,0.09755714829249267,0,1,35
continued,0.008497684900043692,0,1,36
continued,0.08189348264136553,0,1,37
continued,0.23528735928155547,0,1,38
continued,0.10159159847274124,0,1,39
continued,0.13562706059927818,0,1,40
continued,-0.06988448752764094,0,1,41
continued,0.03565647143921092,0,1,42
continued,0.08847016960268676,0,1,43
continued,0.2019827637172282,0,1,44
continued,0.1354234232365444,0,1,45
continued,0.08377819727953703,0,1,46
continued,0.14959891588701524,0,1,47
continued,0.11800805120963978,0,1,48
continued,0.08091966115838838,0,1,49
continued,0.13431861137665435,1,2,0
continued,0.16206115625141676,1,2,1
continued,0.06597682215915988,1,2,2
continued,0.066612282094574,1,2,3
continued,0.20800484272926997,1,2,4
continued,0.03381108982976441,1,2,5
continued,0.10208905048914073,1,2,6
continued,0.15006853222723632,1,2,7
continued,0.09351475617917689,1,2,8
continued,0.14443205632389297,1,2,9
continued,0.17091567985979858,1,2,10
continued,0.09942816518292928,1,2,11
continued,0.1090154908788768,1,2,12
continued,0.13347767939689134,1,2,13
continued,0.12821255876219792,1,2,14
continued,0.17305926698139573,1,2,15
continued,0.19965101099790566,1,2,16
continued,0.11872421531258492,1,2,17
continued,0.12790979226244686,1,2,18
continued,0.10860394766137113,1,2,19
continued,-0.04744183317324344,1,2,20
continued,0.14736342259481588,1,2,21
continued,0.1681868777972404,1,2,22
continued,0.20200303171919223,1,2,23
continued,0.17011028704238268,1,2,24
continued,0.055364518157801905,1,2,25
continued,0.02919552974627964,1,2,26
continued,0.2007994193334388,1,2,27
continued,0.10069417858963216,1,2,28
continued,0.10721332989444715,1,2,29
continued,0.21689729345274547,1,2,30
continued,0.0985157593867218,1,2,31
continued,0.07920411503928433,1,2,32
continued,0.12311785215966284,1,2,33
continued,0.0669090571147038,1,2,34
continued,0.13226253270354166,1,2,35
continued,0.1609585386337756,1,2,36
continued,0.07599341737856308,1,2,37
continued,0.12596808186564232,1,2,38
continued,0.07698226328279115,1,2,39
continued,-0.0003215943284763478,1,2,40
continued,0.07582720040817902,1,2,41
continued,0.10124944070215827,1,2,42
continued,0.14468729314712656,1,2,43
continued,0.10416609781582614,1,2,44
continued,0.08526121170062301,1,2,45
continued,0.053759355203277535,1,2,46
continued,0.05378285015121234,1,2,47
continued,0.13496474675878498,1,2,48
continued,0.09397032007491622,1,2,49
continued,0.14443392420277637,2,3,0
continued,0.09805657110531307,2,3,1
continued,0.1883363556088801,2,3,2
continued,0.003555394802772202,2,3,3
continued,0.13621937669736173,2,3,4
continued,0.12888787178802832,2,3,5
continued,0.08347965827330515,2,3,6
continued,0.1451402400877888,2,3,7
continued,0.06880208824515545,2,3,8
continued,0.15745134335173766,2,3,9
continued,0.08962977590402776,2,3,10
continued,0.10148017203490806,2,3,11
continued,0.17457860811023937,2,3,12
continued,0.11412973350824984,2,3,13
continued,0.15902593961962666,2,3,14
continued,0.19989356012363904,2,3,15
continued,0.12797798301883706,2,3,16
continued,0.14793880827234024,2,3,17
continued,0.08656613226298596,2,3,18
continued,0.07204440006287205,2,3,19
continued,0.12691005621397328,2,3,20
continued,0.08024026796796747,2,3,21
continued,0.15190537862436398,2,3,22
continued,0.07106481067338821,2,3,23
continued,0.13929964584869872,2,3,24
continued,0.0708085316544312,2,3,25
continued,0.09575357062631641,2,3,26
continued,0.1354164503100991,2,3,27
continued,0.06318158165782611,2,3,28
continued,0.0343969768582489,2,3,29
continued,0.15373663543473068,2,3,30
continued,0.11663845401062413,2,3,31
continued,0.16694101681574577,2,3,32
continued,0.1408649612513817,2,3,33
continued,0.04548441894862345,2,3,34
continued,0.045285508467884705,2,3,35
continued,0.1552707435438335,2,3,36
continued,-0.05388792325386594,2,3,37
continued,0.13881810923250715,2,3,38
continued,0.189047329849794,2,3,39
continued,0.03809293824925372,2,3,40
continued,0.09113751549248326,2,3,41
continued,0.094377114805179,2,3,42
continued,0.19446770586284112,2,3,43
continued,0.1121973670517949,2,3,44
continued,0.06797165541043292,2,3,45
continued,0.12026369283637245,2,3,46
continued,0.1771110059988535,2,3,47
continued,0.050627661393970146,2,3,48
continued,0.14068603296015053,2,3,49
continued,0.06729937884564141,3,4,0
continued,0.16387057275519015,3,4,1
continued,0.11340013406530725,3,4,2
continued,0.12898854852091468,3,4,3
continued,0.175214616941506,3,4,4
continued,0.07826224428555922,3,4,5
continued,0.10670176241747227,3,4,6
continued,0.16050471006509046,3,4,7
continued,0.16956247472882946,3,4,8
continued,0.07280042376148298,3,4,9
continued,-0.02893710870481775,3,4,10
continued,0.17713090417285615,3,4,11
continued,0.2166509829142831,3,4,12
continued,0.2387147615139532,3,4,13
continued,0.18890735165325606,3,4,14
continued,0.10009998572154055,3,4,15
continued,0.18340176716598827,3,4,16
continued,0.11235083821275754,3,4,17
continued,0.044233279099708374,3,4,18
continued,0.06331038657501611,3,4,19
continued,0.15334810354635883,3,4,20
continued,-0.04405577969451246,3,4,21
continued,0.1862960871347303,3,4,22
continued,0.12458490191994814,3,4,23
continued,0.07380596633807687,3,4,24
continued,0.10715160132917718,3,4,25
continued,0.030458504732985104,3,4,26
continued,0.04841293440058965,3,4,27
continued,0.16253230960127674,3,4,28
continued,0.09880931197314254,3,4,29
continued,0.17898788198820656,3,4,30
continued,0.08656830765423132,3,4,31
continued,0.09514855571658233,3,4,32
continued,0.08247772447287534,3,4,33
continued,0.11809183368781975,3,4,34
continued,0.09491810583770456,3,4,35
continued,0.0868423906744222,3,4,36
continued,0.11247818824746919,3,4,37
continued,-0.056531606414907884,3,4,38
continued,0.18834437683880056,3,4,39
continued,0.02758534117641224,3,4,40
continued,0.021277070929750085,3,4,41
continued,0.22729086793882022,3,4,42
continued,0.018004606285602784,3,4,43
continued,0.06458679420386855,3,4,44
continued,0.1982945309438687,3,4,45
continued,0.0758902787168215,3,4,46
continued,0.081704789582523,3,4,47
continued,0.09845307755777793,3,4,48
continued,0.09031186829483898,3,4,49
continued,0.13730848056368572,4,5,0
continued,0.16379032645101332,4,5,1
continued,0.053083823862198835,4,5,2
continued,0.16028558834437714,4,5,3
continued,0.10193133588827834,4,5,4
continued,0.17467837383340948,4,5,5
continued,0.10318513965588096,4,5,6
continued,0.13614081511475093,4,5,7
