topic,timepoint1,timepoint2,similarity
0,0,1,0.725092686309052
0,1,2,0.6914756595129838
0,2,3,0.7679653017503504
0,3,4,0.8409510090682267
0,4,5,0.9105978455267446
0,5,6,0.8091708923632828
0,6,7,0.9048726130735373
0,7,8,0.8869016104115494
0,8,9,0.8160837328674333
0,9,10,0.8912011056801156
0,10,11,0.8996524078850497
0,11,12,0.7392355592096397
0,12,13,0.5953061495077898
0,13,14,0.970322594628899
0,14,15,0.7914468883977918
0,15,16,0.8442945076935391
0,16,17,0.9105957550973078
0,17,18,0.7078942432520078
0,18,19,0.6556244050376011
0,19,20,0.8375938828287885
0,20,21,0.8668333211371347
0,21,22,0.9312992977861282
0,22,23,0.9638060282885281
0,23,24,0.935764132212547
0,24,25,0.8869055483394611
0,25,26,0.9136941340310493
0,26,27,0.9082707789584453
0,27,28,0.9385939626573472
0,28,29,0.8398812560895502
0,29,30,0.7303228254015331
0,30,31,0.8388310122086363
0,31,32,0.8680203429173631
0,32,33,0.8652885362494812
0,33,34,0.9722932749670689
0,34,35,0.9630890113662065
0,35,36,0.9253215751375728
0,36,37,0.9756602553272004
0,37,38,0.881738653612655
0,38,39,0.9672718922605745
0,39,40,0.9215499374600293
0,40,41,0.9683376161742696
0,41,42,0.9460093974283805
0,42,43,0.907701162550439
0,43,44,0.9718747884280992
0,44,45,0.9739526550061383
0,45,46,0.9864601058235479
0,46,47,0.9922480890672237
0,47,48,0.9814659613031741
0,48,49,0.9654663550328173
0,49,50,0.955289596018455
0,50,51,0.9649176510153502
0,51,52,0.9830462150394983
0,52,53,0.8961701510741764
0,53,54,0.8723905524235191
0,54,55,0.9879978057652417
0,55,56,0.9822082429744448
0,56,57,0.9590874518512227
0,57,58,0.9488027066555842
0,58,59,0.99090608692258
0,59,60,0.974018246493478
0,60,61,0.9514766251270196
0,61,62,0.9763600145532736
0,62,63,0.9763615552333419
0,63,64,0.960731552981005
0,64,65,0.9925936682630756
0,65,66,0.9919007581961463
0,66,67,0.975958161688931
0,67,68,0.986617378771713
0,68,69,0.9792054816618768
0,69,70,0.8305894013044244
0,70,71,0.81666976915754
0,71,72,0.8369868924967795
0,72,73,0.8893464439971789
0,73,74,0.9884979403939483
0,74,75,0.9768446295080854
0,75,76,0.9026074602609183
0,76,77,0.9717996974445046
0,77,78,0.9287901383653823
0,78,79,0.9361307607990551
0,79,80,0.8940494167728442
0,80,81,0.8159116035667126
0,81,82,0.7178790904802897
0,82,83,0.9621957939317838
0,83,84,0.9908891055681592
0,84,85,0.8634601935892006
0,85,86,0.8783789015731892
0,86,87,0.9917960153292273
0,87,88,0.991795200656207
0,88,89,0.8263959596474715
0,89,90,0.8680234735825819
0,90,91,0.9418769385206629
0,91,92,0.8346120010232981
0,92,93,0.6062364843124577
0,93,94,0.8712755921090666
0,94,95,0.9590247211238632
0,95,96,0.7957459674037489
0,96,97,0.7917261580871747
0,97,98,0.9839386528220305
0,98,99,0.9853488324310745
0,99,100,0.9853720950050809
0,100,101,0.9694214451180899
0,101,102,0.9665957272543165
0,102,103,0.993144976566867
0,103,104,0.9934932447110614
0,104,105,0.9999998812972506
0,105,106,0.9865783732291158
0,106,107,0.993533122099789
0,107,108,0.9644440772233944
0,108,109,0.9752444569376364
0,109,110,0.9999999315203583
0,110,111,0.9697907647937206
0,111,112,0.9841119428556194
0,112,113,0.9999999815784087
0,113,114,0.9524182350993448
0,114,115,0.9827357608696452
0,115,116,0.9462796994506474
0,116,117,0.9490214468082577
0,117,118,0.9922765105738818
0,118,119,0.8469764039225569
0,119,120,0.8510255825683342
0,120,121,0.9723722086922355
0,121,122,0.8108578695192766
0,122,123,0.8559927476912818
0,123,124,0.6200288166313007
0,124,125,0.5513027758946442
0,125,126,0.902082715604032
0,126,127,0.7655130295051049
0,127,128,0.8356255781570985
0,128,129,0.808789598792834
0,129,130,0.6813968986553881
0,130,131,0.9312777440165579
0,131,132,0.9540003815317168
0,132,133,0.9327720577990115
0,133,134,0.867947984613993
0,134,135,0.983366931051344
0,135,136,0.9819791916911081
0,136,137,0.9624240523766739
0,137,138,0.9624583464618685
0,138,139,0.7929428601513601
0,139,140,0.9284320075477377
0,140,141,0.7820184032913765
0,141,142,0.7724709547174671
0,142,143,0.6786489534622702
0,143,144,0.8669988843582194
0,144,145,0.9735112756331753
0,145,146,0.8126048603380908
0,146,147,0.7320951262055239
0,147,148,0.8273173983248845
0,148,149,0.8029616880983609
0,149,150,0.8376137010074617
0,150,151,0.8866027996988906
0,151,152,0.9792531852013361
0,152,153,0.6557743821532559
0,153,154,0.9306853197951251
0,154,155,0.9109892009060044
0,155,156,0.8555701897461228
0,156,157,0.7199787200308289
0,157,158,0.6308920609081943
0,158,159,0.883666079710617
0,159,160,0.8442412022186142
0,160,161,0.8275226154123085
0,161,162,0.9735387570152977
0,162,163,0.9204142400943255
0,163,164,0.8888376257452963
0,164,165,0.6962392847429805
0,165,166,0.9481200907518965
0,166,167,0.9166956178334617
0,167,168,0.9183917340421035
0,168,169,0.7623069878485147
0,169,170,0.8950620009048824
0,170,171,0.9480578995588478
0,171,172,0.8124702725621074
0,172,173,0.9236600805472438
0,173,174,0.8674911837682301
0,174,175,0.886313458756662
0,175,176,0.7965315288384145
0,176,177,0.9652727288365506
0,177,178,0.6685586070725725
0,178,179,0.7757713245523736
0,179,180,0.9215401269792574
0,180,181,0.7083446571216535
0,181,182,0.6597856562762159
0,182,183,0.8190179932458883
0,183,184,0.7873407721867407
0,184,185,0.8700441070675462
0,185,186,0.9330494077621291
0,186,187,0.9006701445910116
0,187,188,0.7920612762204149
0,188,189,0.9058903308432801
0,189,190,0.9140424351114846
0,190,191,0.9365747868137408
0,191,192,0.88776658519532
0,192,193,0.7744844153133131
0,193,194,0.9071998991964997
0,194,195,0.9821716893771731
0,195,196,0.8446934772607526
0,196,197,0.730969433973809
0,197,198,0.9432702470977967
0,198,199,0.9634190021274242
0,199,200,0.9330580508470593
0,200,201,0.8104001316176492
0,201,202,0.9028945060759845
0,202,203,0.9034621564086692
0,203,204,0.9317084348212133
0,204,205,0.9464598230325842
0,205,206,0.934957222501488
0,206,207,0.9551812020873928
0,207,208,0.8829118784246068
0,208,209,0.7175670995164478
0,209,210,0.9807786353167078
0,210,211,0.851475618552643
0,211,212,0.9059233325069226
0,212,213,0.8820755617299912
0,213,214,0.9191323241752968
