window1,topic1,topic1_words,window2,successors,successors_words,successors_similarities,coverage_forward,coverage_backward,coverage_sum_forward,coverage_sum_backward,relation,topics_from,topics_from_words,topic_to,topic_to_words,antecedents_similarities
19,0.0,"['blessing', 'institution', 'liberty', 'self', 'honor', 'hand', 'war', 'individual', 'form', 'revolution']",20,[1],"[['blessing', 'revolution', 'liberty', 'wisdom', 'mind', 'honor', 'sacred', 'enjoy', 'institution', 'integrity']]",[0.96],[0.63],[0.962],0.63,0.962,continued,,,,,
19,1.0,"['mexico', 'treaty', 'republic', 'mexican', 'nicaragua', 'territory', 'army', 'isthmus', 'commissioner', 'boundary']",20,[20],"[['republic', 'mexican', 'mexico', 'obligation', 'obstacle', 'enterprise', 'object', 'injury', 'ocean', 'claim']]",[0.924],[0.365],[1.0],0.365,1.0,disappeared,,,,,
19,2.0,"['constitution', 'bill', 'pass', 'exercise', 'majority', 'vote', 'legislative', 'veto', 'senator', 'constitutional']",20,[],[],[],[],[],0.0,0.0,disappeared,,,,,
19,3.0,"['acre', 'sell', 'warrant', 'locate', 'land', 'survey', 'appropriation', 'complete', 'dock', 'census']",20,[11],"[['compensation', 'work', 'complete', 'census', 'lose', 'commissioner', 'harbor', 'apportionment', 'appropriation', 'commence']]",[0.931],[0.441],[1.0],0.441,1.0,unclear,,,,,
19,4.0,"['navy', 'officer', 'secretary', 'army', 'efficiency', 'seaman', 'discipline', 'grade', 'naval', 'corps']",20,[0],"[['navy', 'army', 'naval', 'seaman', 'secretary', 'efficiency', 'officer', 'artillery', 'ship', 'discipline']]",[0.955],[0.882],[0.793],0.882,0.793,continued,,,,,
19,5.0,"['postage', 'postmaster', 'post', 'mail', 'office', 'reduction', 'rate', 'transportation', 'cent', 'mile']",20,[4],"[['postmaster', 'post', 'mail', 'postage', 'office', 'mile', 'transportation', 'receipt', 'expenditure', 'rate']]",[0.98],[0.875],[1.0],0.875,1.0,continued,,,,,
19,6.0,"['cuba', 'minister', 'island', 'consul', 'spanish', 'expedition', 'spain', 'havana', 'france', 'captain']",20,[6],"[['cuba', 'spanish', 'spain', 'island', 'minister', 'captain', 'havana', 'expedition', 'board', 'neutral']]",[0.929],[0.52],[0.778],0.52,0.778,continued,,,,,
19,7.0,"['gold', 'california', 'mine', 'mineral', 'metal', 'coast', 'wealth', 'precious', 'mint', 'rich']",20,[29],"[['greatly', 'railroad', 'route', 'communication', 'commercial', 'exploration', 'enhance', 'economical', 'importance', 'deem']]",[0.716],[0.409],[0.333],0.409,0.333,disappeared,,,,,
19,8.0,"['tribe', 'indians', 'indian', 'oregon', 'texas', 'territory', 'mile', 'california', 'treaty', 'mexico']",20,[13],"[['indians', 'tribe', 'territory', 'apart', 'oregon', 'white', 'settlement', 'remove', 'frontier', 'portion']]",[0.956],[0.818],[1.0],0.818,1.0,continued,,,,,
19,9.0,"['tariff', 'revenue', 'manufacture', 'protective', 'duty', 'tax', 'article', 'competition', 'rate', 'favor']",20,[9],"[['tariff', 'revenue', 'article', 'import', 'duty', 'manufacture', 'valorem', 'ad', 'modification', 'reduction']]",[0.933],[0.895],[0.929],0.895,0.929,continued,,,,,
19,10.0,"['british', 'treaty', 'vessel', 'convention', 'province', 'britain', 'arrangement', 'naval', 'negotiation', 'fish']",20,[7],"[['british', 'province', 'treaty', 'britain', 'central', 'convention', 'question', 'coast', 'north', 'fish']]",[0.915],[0.444],[0.944],0.444,0.944,unclear,,,,,
19,11.0,"['bank', 'currency', 'bankruptcy', 'credit', 'loan', 'revulsion', 'paper', 'occur', 'disbursement', 'satisfied']",20,[8],"[['bank', 'circulation', 'currency', 'paper', 'gold', 'coin', 'silver', 'loan', 'specie', 'deposit']]",[0.903],[0.909],[0.875],0.909,0.875,continued,,,,,
19,12.0,"['estimate', 'treasury', 'expenditure', 'sum', 'july', 'include', 'st', 'account', 'deficit', 'appropriation']",20,[21],"[['expenditure', 'estimate', 'sum', 'acquisition', 'ordinary', 'appropriation', 'reduction', 'account', 'mexico', 'average']]",[0.935],[0.727],[0.875],0.727,0.875,continued,,,,,
19,13.0,"['export', 'value', 'specie', 'fiscal', 'domestic', 'import', 'cotton', 'end', 'crop', 'compare']",20,[25],"[['export', 'value', 'specie', 'fiscal', 'cotton', 'price', 'import', 'crop', 'compare', 'end']]",[0.996],[1.0],[1.0],1.0,1.0,continued,,,,,
19,14.0,"['japan', 'open', 'expedition', 'commercial', 'intercourse', 'china', 'asia', 'pacific', 'empire', 'command']",20,[26],"[['japan', 'expedition', 'pacific', 'asia', 'china', 'eastern', 'intercourse', 'open', 'seas', 'command']]",[0.955],[0.75],[0.857],0.75,0.857,continued,,,,,
19,15.0,"['treasury', 'june', 'expenditure', 'balance', 'receipt', 'fiscal', 'amount', 'aggregate', 'end', 'available']",20,[5],"[['fiscal', 'treasury', 'balance', 'receipt', 'quarter', 'estimate', 'june', 'expenditure', 'amount', 'remain']]",[0.913],[1.0],[0.6],1.0,0.6,continued,,,,,
19,16.0,"['finance', 'treasury', 'secretary', 'annual', 'statement', 'detail', 'condition', 'exhibit', 'amount', 'details']",20,[],[],[],[],[],0.0,0.0,disappeared,,,,,
19,17.0,"['agricultural', 'bureau', 'soil', 'cultivation', 'encouragement', 'agriculture', 'seed', 'promote', 'analysis', 'plant']",20,[],[],[],[],[],0.0,0.0,disappeared,,,,,
19,18.0,"['texas', 'stock', 'release', 'file', 'treasury', 'creditor', 'issue', 'prescribe', 'th', 'september']",20,[22],"[['texas', 'stock', 'treasury', 'release', 'file', 'creditor', 'st', 'th', 'prescribe', 'issue']]",[0.967],[0.857],[0.875],0.857,0.875,continued,,,,,
19,19.0,"['columbia', 'district', 'guardian', 'relation', 'commend', 'inhabitant', 'city', 'liberal', 'object', 'washington']",20,[28],"[['columbia', 'district', 'relation', 'commend', 'liberal', 'peculiar', 'city', 'especially', 'inhabitant', 'washington']]",[0.966],[0.833],[1.0],0.833,1.0,continued,,,,,
19,20.0,"['domain', 'work', 'rapid', 'intelligence', 'improvement', 'commendable', 'wing', 'construction', 'internal', 'grant']",20,[18],"[['domain', 'work', 'growth', 'land', 'proprietor', 'interior', 'construction', 'improvement', 'experience', 'rapid']]",[0.972],[1.0],[1.0],1.0,1.0,continued,,,,,
20,0.0,"['navy', 'army', 'naval', 'seaman', 'secretary', 'efficiency', 'officer', 'artillery', 'ship', 'discipline']",21,[19],"[['navy', 'secretary', 'efficiency', 'construction', 'vessel', 'draft', 'recommend', 'naval', 'light', 'recommendation']]",[0.921],[0.69],[0.9],0.69,0.9,continued,,,,,
20,1.0,"['blessing', 'revolution', 'liberty', 'wisdom', 'mind', 'honor', 'sacred', 'enjoy', 'institution', 'integrity']",21,[17],"[['domestic', 'danger', 'liberty', 'apprehension', 'blessing', 'providence', 'institution', 'integrity', 'generation', 'human']]",[0.929],[0.731],[0.917],0.731,0.917,continued,,,,,
20,2.0,"['kansas', 'slavery', 'election', 'constitution', 'majority', 'vote', 'territory', 'convention', 'delegate', 'institution']",21,"[13, 25]","[['kansas', 'vote', 'election', 'majority', 'constitution', 'party', 'topeka', 'slavery', 'civil', 'frame'], ['slavery', 'majority', 'constitution', 'kansas', 'convention', 'institution', 'delegate', 'vote', 'form', 'admission']]","[0.953, 0.929]","[0.36, 0.32]","[1.0, 1.0]",0.68,2.0,unclear,,,,,
20,3.0,"['treaty', 'honduras', 'britain', 'central', 'convention', 'hondura', 'ratification', 'bay', 'ratify', 'balize']",21,[7],"[['honduras', 'treaty', 'britain', 'central', 'convention', 'hondura', 'bay', 'coast', 'republic', 'british']]",[0.991],[0.864],[1.0],0.864,1.0,continued,,,,,
20,4.0,"['postmaster', 'post', 'mail', 'postage', 'office', 'mile', 'transportation', 'receipt', 'expenditure', 'rate']",21,[15],"[['postmaster', 'mail', 'post', 'office', 'transportation', 'end', 'expenditure', 'june', 'postage', 'treasury']]",[0.926],[0.9],[0.786],0.9,0.786,continued,,,,,
20,5.0,"['fiscal', 'treasury', 'balance', 'receipt', 'quarter', 'estimate', 'june', 'expenditure', 'amount', 'remain']",21,[3],"[['fiscal', 'estimate', 'treasury', 'june', 'expenditure', 'balance', 'quarter', 'july', 'receipt', 'aggregate']]",[0.968],[0.85],[0.913],0.85,0.913,continued,,,,,
20,6.0,"['cuba', 'spanish', 'spain', 'island', 'minister', 'captain', 'havana', 'expedition', 'board', 'neutral']",21,[5],"[['spanish', 'spain', 'claim', 'cuba', 'amistad', 'madrid', 'december', 'cuban', 'claimant', 'urge']]",[0.904],[0.778],[0.895],0.778,0.895,continued,,,,,
20,7.0,"['british', 'province', 'treaty', 'britain', 'central', 'convention', 'question', 'coast', 'north', 'fish']",21,[20],"[['treaty', 'question', 'adjust', 'britain', 'central', 'clayton', 'bulwer', 'friendly', 'british', 'misunderstanding']]",[0.945],[0.833],[1.0],0.833,1.0,continued,,,,,
20,8.0,"['bank', 'circulation', 'currency', 'paper', 'gold', 'coin', 'silver', 'loan', 'specie', 'deposit']",21,[12],"[['bank', 'circulation', 'currency', 'specie', 'paper', 'deposit', 'gold', 'loan', 'dollar', 'issue']]",[0.991],[0.875],[1.0],0.875,1.0,continued,,,,,
20,9.0,"['tariff', 'revenue', 'article', 'import', 'duty', 'manufacture', 'valorem', 'ad', 'modification', 'reduction']",21,[2],"[['duty', 'revenue', 'specific', 'tariff', 'article', 'manufacturer', 'valorem', 'ad', 'manufacture', 'import']]",[0.936],[0.929],[0.87],0.929,0.87,continued,,,,,
20,10.0,"['denmark', 'sound', 'due', 'baltic', 'cargoe', 'convention', 'arrangement', 'toll', 'tribute', 'navigation']",21,[16],"[['denmark', 'sound', 'baltic', 'due', 'arrangement', 'cargoe', 'toll', 'tribute', 'convention', 'proposition']]",[0.996],[1.0],[1.0],1.0,1.0,continued,,,,,
20,11.0,"['compensation', 'work', 'complete', 'census', 'lose', 'commissioner', 'harbor', 'apportionment', 'appropriation', 'commence']",21,[22],"[['bill', 'approve', 'inconvenience', 'rule', 'approval', 'practice', 'appropriation', 'elect', 'examine', 'present']]",[0.744],[0.308],[0.333],0.308,0.333,disappeared,,,,,
20,12.0,"['institution', 'agitation', 'agitator', 'southern', 'equally', 'social', 'self', 'domestic', 'passion', 'organization']",21,[8],"[['institution', 'social', 'southern', 'agitation', 'domestic', 'agitator', 'existence', 'organization', 'passion', 'evil']]",[0.957],[1.0],[0.667],1.0,0.667,continued,,,,,
20,13.0,"['indians', 'tribe', 'territory', 'apart', 'oregon', 'white', 'settlement', 'remove', 'frontier', 'portion']",21,[],[],[],[],[],0.0,0.0,disappeared,,,,,
20,14.0,"['naval', 'privateer', 'belligerent', 'paris', 'declaration', 'property', 'propose', 'proposition', 'maritime', 'armed']",21,[18],"[['naval', 'privateer', 'belligerent', 'paris', 'declaration', 'maritime', 'propose', 'proposition', 'property', 'privateering']]",[0.977],[0.917],[0.909],0.917,0.909,continued,,,,,
20,15.0,"['panama', 'isthmus', 'granada', 'company', 'nicaragua', 'juan', 'peruvian', 'railroad', 'peru', 'san']",21,[9],"[['route', 'nicaragua', 'isthmus', 'transit', 'panama', 'pacific', 'company', 'atlantic', 'communication', 'treaty']]",[0.919],[0.667],[0.812],0.667,0.812,continued,,,,,
20,16.0,"['acre', 'locate', 'sell', 'warrant', 'land', 'swamp', 'survey', 'quantity', 'aggregate', 'market']",21,[],[],[],[],[],0.0,0.0,disappeared,,,,,
20,17.0,"['repeal', 'statute', 'compact', 'territory', 'restriction', 'louisiana', 'book', 'open', 'null', 'enactment']",21,[29],"[['repeal', 'statute', 'compact', 'open', 'null', 'field', 'louisiana', 'book', 'unrepeale', 'organize']]",[0.949],[0.8],[1.0],0.8,1.0,continued,,,,,
20,18.0,"['domain', 'work', 'growth', 'land', 'proprietor', 'interior', 'construction', 'improvement', 'experience', 'rapid']",21,[],[],[],[],[],0.0,0.0,disappeared,,,,,
20,19.0,"['mexico', 'boundary', 'line', 'point', 'run', 'treaty', 'initial', 'guadalupe', 'hidalgo', 'mexican']",21,[],[],[],[],[],0.0,0.0,disappeared,,,,,
20,20.0,"['republic', 'mexican', 'mexico', 'obligation', 'obstacle', 'enterprise', 'object', 'injury', 'ocean', 'claim']",21,[0],"[['mexico', 'mexican', 'republic', 'redress', 'constitutional', 'wrong', 'minister', 'capital', 'injury', 'outrage']]",[0.93],[0.9],[0.667],0.9,0.667,continued,,,,,
20,21.0,"['expenditure', 'estimate', 'sum', 'acquisition', 'ordinary', 'appropriation', 'reduction', 'account', 'mexico', 'average']",21,[31],"[['expenditure', 'amount', 'sum', 'treasury', 'june', 'fiscal', 'end', 'department', 'total', 'contingent']]",[0.842],[1.0],[0.6],1.0,0.6,unclear,,,,,
20,22.0,"['texas', 'stock', 'treasury', 'release', 'file', 'creditor', 'st', 'th', 'prescribe', 'issue']",21,[],[],[],[],[],0.0,0.0,disappeared,,,,,
20,23.0,"['constitution', 'judicial', 'fugitive', 'person', 'declare', 'judge', 'clause', 'information', 'aim', 'magistrate']",21,[],[],[],[],[],0.0,0.0,disappeared,,,,,
20,24.0,"['smyrna', 'body', 'koszta', 'turkish', 'kossuth', 'release', 'austria', 'spanish', 'th', 'prisoner']",21,[],[],[],[],[],0.0,0.0,disappeared,,,,,
20,25.0,"['export', 'value', 'specie', 'fiscal', 'cotton', 'price', 'import', 'crop', 'compare', 'end']",21,[],[],[],[],[],0.0,0.0,disappeared,,,,,
20,26.0,"['japan', 'expedition', 'pacific', 'asia', 'china', 'eastern', 'intercourse', 'open', 'seas', 'command']",21,[],[],[],[],[],0.0,0.0,disappeared,,,,,
